"OHQ030.Code.or.Value","OHQ030.Value.Description","OHQ030.Count","OHQ030.Cumulative","OHQ030.Skip.to.Item"
"1","6 months or less",4070,4070,""
"2","More than 6 months, but not more than 1 year ago",1361,5431,""
"3","More than 1 year, but not more than 2 years ago",1001,6432,""
"4","More than 2 years, but not more than 3 years ago",527,6959,""
"5","More than 3 years, but not more than 5 years ago",471,7430,""
"6","More than 5 years ago",913,8343,""
"7","Never have been",524,8867,"OHQ550"
"77","Refused",0,8867,""
"99","Don't know",28,8895,""
".","Missing",2,8897,""
