"PFQ063E.Code.or.Value","PFQ063E.Value.Description","PFQ063E.Count","PFQ063E.Cumulative","PFQ063E.Skip.to.Item"
"10","Arthritis/rheumatism",10,10,NA
"11","Back or neck problem",7,17,NA
"12","Birth defect",0,17,NA
"13","Cancer",0,17,NA
"14","Depression/anxiety/emotional problem",11,28,NA
"15","Other developmental problem (such as cerebral palsy)",2,30,NA
"16","Diabetes",8,38,NA
"17","Fractures, bone/joint injury",32,70,NA
"18","Hearing problem",37,107,NA
"19","Heart problem",36,143,NA
"20","Hypertension/high blood pressure",67,210,NA
"21","Lung/breathing problem",49,259,NA
"22","Mental retardation",3,262,NA
"23","Other injury",18,280,NA
"24","Senility",5,285,NA
"25","Stroke problem",18,303,NA
"26","Vision/problem seeing",101,404,NA
"27","Weight problem",61,465,NA
"28","Other impairment/problem",51,516,NA
"77","Refused",0,516,NA
"99","Don't know",0,516,NA
".","Missing",7905,8421,NA
