Source Term Id,Source Term,Mapped Term Label,Mapped Term IRI,Mapping Score,Ontology
DMDBORN,Country of Birth - Recode,birth measurement,http://www.ebi.ac.uk/efo/EFO_0006921,0.563519624475453,EFO
DMDHHSIZ,Total number of people in the Household,household income,http://www.ebi.ac.uk/efo/EFO_0009695,0.5071872935689465,EFO
DMDYRSUS,Length of time in US,axial length measurement,http://www.ebi.ac.uk/efo/EFO_0005318,0.5526133794394479,EFO
INDFMPIR,Family PIR,family size,http://www.ebi.ac.uk/efo/EFO_0004802,0.5371648981551185,EFO
INDHHINC,Annual Household Income,household income,http://www.ebi.ac.uk/efo/EFO_0009695,0.7738163304674734,EFO
RIAGENDR,Gender,gender identity disorder,http://www.ebi.ac.uk/efo/EFO_0008587,0.6164474202058403,EFO
RIDEXPRG,Pregnancy Status at Exam - Recode,pregnancy,http://www.ebi.ac.uk/efo/EFO_0002950,0.6314953385002704,EFO
RIDPREG,Pregnancy Status - Recode (old version),pregnancy,http://www.ebi.ac.uk/efo/EFO_0002950,0.5743926299708857,EFO
SDJ1REPN,Jack Knife Replicate Number,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.6035343772673996,EFO
WTIREP01,Interview Weight Jack Knife Replicate 01,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5087369525078597,EFO
WTIREP02,Interview Weight Jack Knife Replicate 02,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5085996061052351,EFO
WTIREP03,Interview Weight Jack Knife Replicate 03,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5081010022649931,EFO
WTIREP04,Interview Weight Jack Knife Replicate 04,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5082146289906753,EFO
WTIREP05,Interview Weight Jack Knife Replicate 05,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.509238591491433,EFO
WTIREP06,Interview Weight Jack Knife Replicate 06,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5097487380307804,EFO
WTIREP07,Interview Weight Jack Knife Replicate 07,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5078631654351302,EFO
WTIREP08,Interview Weight Jack Knife Replicate 08,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5077385290510216,EFO
WTIREP09,Interview Weight Jack Knife Replicate 09,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5090188762892741,EFO
WTIREP10,Interview Weight Jack Knife Replicate 10,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5180020066864421,EFO
WTIREP11,Interview Weight Jack Knife Replicate 11,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5161546867865893,EFO
WTIREP12,Interview Weight Jack Knife Replicate 12,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5223941701285411,EFO
WTIREP13,Interview Weight Jack Knife Replicate 13,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5155338264533093,EFO
WTIREP14,Interview Weight Jack Knife Replicate 14,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5160836500789098,EFO
WTIREP15,Interview Weight Jack Knife Replicate 15,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5143941085283567,EFO
WTIREP16,Interview Weight Jack Knife Replicate 16,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5144950311820844,EFO
WTIREP17,Interview Weight Jack Knife Replicate 17,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5117357396715475,EFO
WTIREP18,Interview Weight Jack Knife Replicate 18,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5187582322701825,EFO
WTIREP19,Interview Weight Jack Knife Replicate 19,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5136531057166185,EFO
WTIREP20,Interview Weight Jack Knife Replicate 20,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.517363472498943,EFO
WTIREP21,Interview Weight Jack Knife Replicate 21,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5123213750037044,EFO
WTIREP22,Interview Weight Jack Knife Replicate 22,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5193363966967256,EFO
WTIREP23,Interview Weight Jack Knife Replicate 23,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5147141347866648,EFO
WTIREP24,Interview Weight Jack Knife Replicate 24,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5159829522879374,EFO
WTIREP25,Interview Weight Jack Knife Replicate 25,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.515056631436922,EFO
WTIREP26,Interview Weight Jack Knife Replicate 26,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5121367413338537,EFO
WTIREP27,Interview Weight Jack Knife Replicate 27,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5110782560748024,EFO
WTIREP28,Interview Weight Jack Knife Replicate 28,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5127315309714838,EFO
WTIREP29,Interview Weight Jack Knife Replicate 29,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5112284279067878,EFO
WTIREP30,Interview Weight Jack Knife Replicate 30,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5234391086119499,EFO
WTIREP31,Interview Weight Jack Knife Replicate 31,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5121181981882337,EFO
WTIREP32,Interview Weight Jack Knife Replicate 32,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5078477295101258,EFO
WTIREP33,Interview Weight Jack Knife Replicate 33,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5103775264412415,EFO
WTIREP34,Interview Weight Jack Knife Replicate 34,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5099460183138701,EFO
WTIREP35,Interview Weight Jack Knife Replicate 35,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5100470169601357,EFO
WTIREP36,Interview Weight Jack Knife Replicate 36,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5068436144782136,EFO
WTIREP37,Interview Weight Jack Knife Replicate 37,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5081806669449646,EFO
WTIREP38,Interview Weight Jack Knife Replicate 38,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5077321626628275,EFO
WTIREP39,Interview Weight Jack Knife Replicate 39,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5088325055896207,EFO
WTIREP40,Interview Weight Jack Knife Replicate 40,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5091520053560342,EFO
WTIREP41,Interview Weight Jack Knife Replicate 41,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5067208657334502,EFO
WTIREP42,Interview Weight Jack Knife Replicate 42,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5082482315379993,EFO
WTIREP43,Interview Weight Jack Knife Replicate 43,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5076534467033476,EFO
WTIREP44,Interview Weight Jack Knife Replicate 44,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5161372222929801,EFO
WTIREP45,Interview Weight Jack Knife Replicate 45,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5087525434078549,EFO
WTIREP46,Interview Weight Jack Knife Replicate 46,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5081377913495407,EFO
WTIREP47,Interview Weight Jack Knife Replicate 47,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5067574799140492,EFO
WTIREP48,Interview Weight Jack Knife Replicate 48,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5080681197760527,EFO
WTIREP49,Interview Weight Jack Knife Replicate 49,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5079451657672598,EFO
WTIREP50,Interview Weight Jack Knife Replicate 50,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5148511406251096,EFO
WTIREP51,Interview Weight Jack Knife Replicate 51,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5085686443774977,EFO
WTIREP52,Interview Weight Jack Knife Replicate 52,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5086037504239262,EFO
WTMREP01,MEC Exam Weight Jack Knife Replicate 01,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5232571809952804,EFO
WTMREP02,MEC Exam Weight Jack Knife Replicate 02,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5231077389349779,EFO
WTMREP03,MEC Exam Weight Jack Knife Replicate 03,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5225652835121929,EFO
WTMREP04,MEC Exam Weight Jack Knife Replicate 04,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5226888954494407,EFO
WTMREP05,MEC Exam Weight Jack Knife Replicate 05,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5238030572755867,EFO
WTMREP06,MEC Exam Weight Jack Knife Replicate 06,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5243582873538748,EFO
WTMREP07,MEC Exam Weight Jack Knife Replicate 07,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5223065617206569,EFO
WTMREP08,MEC Exam Weight Jack Knife Replicate 08,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5221709891224875,EFO
WTMREP09,MEC Exam Weight Jack Knife Replicate 09,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5235639548596538,EFO
WTMREP10,MEC Exam Weight Jack Knife Replicate 10,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5333544853830947,EFO
WTMREP11,MEC Exam Weight Jack Knife Replicate 11,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5313386452795736,EFO
WTMREP12,MEC Exam Weight Jack Knife Replicate 12,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5381525421843224,EFO
WTMREP13,MEC Exam Weight Jack Knife Replicate 13,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5306614378068234,EFO
WTMREP14,MEC Exam Weight Jack Knife Replicate 14,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5312611541378304,EFO
WTMREP15,MEC Exam Weight Jack Knife Replicate 15,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5294186620268492,EFO
WTMREP16,MEC Exam Weight Jack Knife Replicate 16,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5295286907361045,EFO
WTMREP17,MEC Exam Weight Jack Knife Replicate 17,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5265218128656123,EFO
WTMREP18,MEC Exam Weight Jack Knife Replicate 18,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5341800710331098,EFO
WTMREP19,MEC Exam Weight Jack Knife Replicate 19,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5286109174559686,EFO
WTMREP20,MEC Exam Weight Jack Knife Replicate 20,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.532657554995098,EFO
WTMREP21,MEC Exam Weight Jack Knife Replicate 21,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5271597572961334,EFO
WTMREP22,MEC Exam Weight Jack Knife Replicate 22,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.534811410930048,EFO
WTMREP23,MEC Exam Weight Jack Knife Replicate 23,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5297675768512448,EFO
WTMREP24,MEC Exam Weight Jack Knife Replicate 24,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5311513101628523,EFO
WTMREP25,MEC Exam Weight Jack Knife Replicate 25,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5301410332465761,EFO
WTMREP26,MEC Exam Weight Jack Knife Replicate 26,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5269586182305526,EFO
WTMREP27,MEC Exam Weight Jack Knife Replicate 27,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5258057556311454,EFO
WTMREP28,MEC Exam Weight Jack Knife Replicate 28,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5276066250458378,EFO
WTMREP29,MEC Exam Weight Jack Knife Replicate 29,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5259692916667433,EFO
WTMREP30,MEC Exam Weight Jack Knife Replicate 30,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.53929513584852,EFO
WTMREP31,MEC Exam Weight Jack Knife Replicate 31,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5269384181194822,EFO
WTMREP32,MEC Exam Weight Jack Knife Replicate 32,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5222897710587182,EFO
WTMREP33,MEC Exam Weight Jack Knife Replicate 33,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5250427775039685,EFO
WTMREP34,MEC Exam Weight Jack Knife Replicate 34,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5245730280093175,EFO
WTMREP35,MEC Exam Weight Jack Knife Replicate 35,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5246829711947442,EFO
WTMREP36,MEC Exam Weight Jack Knife Replicate 36,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5211977192509922,EFO
WTMREP37,MEC Exam Weight Jack Knife Replicate 37,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5226519484085089,EFO
WTMREP38,MEC Exam Weight Jack Knife Replicate 38,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5221640642703819,EFO
WTMREP39,MEC Exam Weight Jack Knife Replicate 39,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5233611532644135,EFO
WTMREP40,MEC Exam Weight Jack Knife Replicate 40,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5237088288158414,EFO
WTMREP41,MEC Exam Weight Jack Knife Replicate 41,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5210642462025776,EFO
WTMREP42,MEC Exam Weight Jack Knife Replicate 42,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5227254518160773,EFO
WTMREP43,MEC Exam Weight Jack Knife Replicate 43,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5220784445340722,EFO
WTMREP44,MEC Exam Weight Jack Knife Replicate 44,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.531319593775473,EFO
WTMREP45,MEC Exam Weight Jack Knife Replicate 45,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5232741453787528,EFO
WTMREP46,MEC Exam Weight Jack Knife Replicate 46,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5226053049984167,EFO
WTMREP47,MEC Exam Weight Jack Knife Replicate 47,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.521104058705421,EFO
WTMREP48,MEC Exam Weight Jack Knife Replicate 48,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5225295122918978,EFO
WTMREP49,MEC Exam Weight Jack Knife Replicate 49,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5223957603086484,EFO
WTMREP50,MEC Exam Weight Jack Knife Replicate 50,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5299169619253861,EFO
WTMREP51,MEC Exam Weight Jack Knife Replicate 51,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5230740514747789,EFO
WTMREP52,MEC Exam Weight Jack Knife Replicate 52,replicate,http://www.ebi.ac.uk/efo/EFO_0000683,0.5231122481280233,EFO
DRALANG,Language SP/Proxy used mostly,language measurement,http://www.ebi.ac.uk/efo/EFO_0007797,0.5307639428887994,EFO
DRD030,Coded meal name,gene name,http://www.ebi.ac.uk/efo/EFO_0002605,0.5706361363022441,EFO
DRD040,Meal Place,place of residence measurement,http://www.ebi.ac.uk/efo/EFO_0009583,0.5292099181962305,EFO
DRDCCMTY,Combination food type,recombination,http://www.ebi.ac.uk/efo/EFO_0004293,0.6628578431822235,EFO
DRDCFF,Combination food flag,recombination,http://www.ebi.ac.uk/efo/EFO_0004293,0.6112027321065442,EFO
DRDISODF,Salt adjustment flag of individual food,individual,http://www.ebi.ac.uk/efo/EFO_0000542,0.6174237822932954,EFO
DRDISODI,Sodium (mg),sodium measurement,http://www.ebi.ac.uk/efo/EFO_0009282,0.8329256210071857,EFO
DRXIALCO,Alcohol (gm),response to alcohol,http://www.ebi.ac.uk/efo/EFO_0005526,0.6968235081736243,EFO
DRXICAFF,Caffeine (mg),caffeine measurement,http://www.ebi.ac.uk/efo/EFO_0021177,0.8492245581541087,EFO
DRXICALC,Calcium (mg),calcium measurement,http://www.ebi.ac.uk/efo/EFO_0004838,0.8284492748821146,EFO
DRXICARB,Carbohydrate (gm),carbohydrate measurement,http://www.ebi.ac.uk/efo/EFO_0004998,0.8949721351753368,EFO
DRXICARO,Carotene (RE),carotenoid measurement,http://www.ebi.ac.uk/efo/EFO_0004737,0.5805090078479482,EFO
DRXICHOL,Cholesterol (mg),total cholesterol measurement,http://www.ebi.ac.uk/efo/EFO_0004574,0.7095458964355142,EFO
DRXICOPP,Copper (mg),serum copper measurement,http://www.ebi.ac.uk/efo/EFO_0005267,0.6346790408445425,EFO
DRXIIRON,Iron (mg),liver iron measurement,http://www.ebi.ac.uk/efo/EFO_0010056,0.5868076316108211,EFO
DRXIKCAL,Energy (kcal),energy intake,http://www.ebi.ac.uk/efo/EFO_0003939,0.5763368438089973,EFO
DRXIMAGN,Magnesium (mg),magnesium measurement,http://www.ebi.ac.uk/efo/EFO_0004845,0.8818407803877786,EFO
