Source Term Id,Source Term,Mapped Term Label,Mapped Term IRI,Mapping Score
INDFMPIR,Family PIR,glutamine family amino acid,http://purl.obolibrary.org/obo/CHEBI_24318,0.5397244400090402
RIAGENDR,Gender,prenderol,http://purl.obolibrary.org/obo/CHEBI_134759,0.5150170942162411
RIDEXPRG,Pregnancy Status at Exam - Recode,pregnane,http://purl.obolibrary.org/obo/CHEBI_8386,0.5089871115586477
SDMVPSU,Masked Variance Pseudo-PSU,Pseudolaric acid B,http://purl.obolibrary.org/obo/CHEBI_189471,0.5076179452735621
DRD040,Meal Place,Placental lactogen,http://purl.obolibrary.org/obo/CHEBI_81588,0.5199076936177327
DRDISODI,Sodium (mg),sodium atom,http://purl.obolibrary.org/obo/CHEBI_26708,0.9153689364315465
DRXIALCO,Alcohol (gm),alcohol,http://purl.obolibrary.org/obo/CHEBI_30879,0.9226569682807698
DRXICAFF,Caffeine (mg),caffeine,http://purl.obolibrary.org/obo/CHEBI_27732,0.9174695500842411
DRXICALC,Calcium (mg),calcium atom,http://purl.obolibrary.org/obo/CHEBI_22984,0.9033890577852149
DRXICARB,Carbohydrate (gm),carbohydrate,http://purl.obolibrary.org/obo/CHEBI_16646,0.8914384578318368
DRXICARO,Carotene (RE),carotene,http://purl.obolibrary.org/obo/CHEBI_23042,0.9205287211782768
DRXICHOL,Cholesterol (mg),cholesterol,http://purl.obolibrary.org/obo/CHEBI_16113,0.9241719097684276
DRXICOPP,Copper (mg),copper atom,http://purl.obolibrary.org/obo/CHEBI_28694,0.8650962099743236
DRXIGRMS,Grams,gramine,http://purl.obolibrary.org/obo/CHEBI_28948,0.6911280565775922
DRXIIRON,Iron (mg),iron atom,http://purl.obolibrary.org/obo/CHEBI_18248,0.86302711380714
DRXILINE,Food/individ.component number(sequentl#),food component,http://purl.obolibrary.org/obo/CHEBI_78295,0.5193519478801252
DRXIM161,MFA 16:1 (Hexadecenoic) (gm),hexadecenoic acid,http://purl.obolibrary.org/obo/CHEBI_24548,0.6873293139610362
DRXIM181,MFA 18:1 (Octadecenoic) (gm),octadecenoic acid,http://purl.obolibrary.org/obo/CHEBI_25634,0.6992046905575197
DRXIM201,MFA 20:1 (Eicosenoic) (gm),9-Eicosenoic acid,http://purl.obolibrary.org/obo/CHEBI_180273,0.5038834883321517
DRXIM221,MFA 22:1 (Docosenoic) (gm),docosenoic acid,http://purl.obolibrary.org/obo/CHEBI_36031,0.6757951255710812
DRXIMAGN,Magnesium (mg),magnesium atom,http://purl.obolibrary.org/obo/CHEBI_25107,0.9319478744606018
DRXIMFAT,Total monounsaturated fatty acids (gm),monounsaturated fatty acid,http://purl.obolibrary.org/obo/CHEBI_25413,0.847330657874798
DRXIP182,PFA 18:2 (Octadecadienoic) (gm),octadecadienoic acid,http://purl.obolibrary.org/obo/CHEBI_25627,0.7578741850133419
