Source Term Id,Source Term,Mapped Term Label,Mapped Term IRI,Mapping Score
DRDISODI,Sodium (mg),exposure to sodium chloride,http://purl.obolibrary.org/obo/ECTO_9001347,0.6591092205202495
DRXIALCO,Alcohol (gm),exposure to alcohol,http://purl.obolibrary.org/obo/ECTO_9000026,0.9079744394643388
DRXICAFF,Caffeine (mg),exposure to caffeine,http://purl.obolibrary.org/obo/ECTO_9000205,0.9060737073514367
DRXICALC,Calcium (mg),exposure to calcium cation,http://purl.obolibrary.org/obo/ECTO_9000299,0.7474169328421312
DRXICARB,Carbohydrate (gm),exposure to carbohydrate,http://purl.obolibrary.org/obo/ECTO_9000162,0.9347328113633357
DRXICARO,Carotene (RE),exposure to beta-carotene,http://purl.obolibrary.org/obo/ECTO_9000126,0.5866506386018291
DRXICHOL,Cholesterol (mg),exposure to cholesterol,http://purl.obolibrary.org/obo/ECTO_9000310,0.9127434474612787
DRXICOPP,Copper (mg),exposure to copper,http://purl.obolibrary.org/obo/ECTO_9000944,0.8701901775023958
DRXIIRON,Iron (mg),exposure to iron,http://purl.obolibrary.org/obo/ECTO_9000087,0.8314541485527649
DRXILINE,Food/individ.component number(sequentl#),exposure to food component,http://purl.obolibrary.org/obo/ECTO_9002063,0.5479518116491798
DRXIMAGN,Magnesium (mg),exposure to magnesium cation,http://purl.obolibrary.org/obo/ECTO_9000210,0.8131292602817255
DRXINIAC,Niacin (mg),exposure to niacin (b3) via ingestion,http://purl.obolibrary.org/obo/ECTO_0900032,0.5271694140123432
DRXIPHOS,Phosphorus (mg),exposure to phosphorus,http://purl.obolibrary.org/obo/ECTO_9001227,0.9333135037426636
DRXIPOTA,Potassium (mg),exposure to potassium via ingestion,http://purl.obolibrary.org/obo/ECTO_0900037,0.7724893251656598
DRXIPROT,Protein (gm),exposure to protein,http://purl.obolibrary.org/obo/ECTO_9002133,0.8858596508007079
DRXIS040,SFA 4:0 (Butanoic) (gm),exposure to butane,http://purl.obolibrary.org/obo/ECTO_9001399,0.5116082162827064
DRXIS120,SFA 12:0 (Dodecanoic) (gm),exposure to dodecane,http://purl.obolibrary.org/obo/ECTO_9000430,0.5646029599683878
DRXISELE,Selenium (mcg),exposure to selenium,http://purl.obolibrary.org/obo/ECTO_9000950,0.8582369695481727
DRXISFAT,Total saturated fatty acids (gm),exposure to fatty acid,http://purl.obolibrary.org/obo/ECTO_9000308,0.5504935501386498
DRXIVAIU,Vitamin A (IU),exposure to vitamin A,http://purl.obolibrary.org/obo/ECTO_9000125,0.7321757293935155
DRXIVARE,Vitamin A (RE),exposure to vitamin A,http://purl.obolibrary.org/obo/ECTO_9000125,0.9139188279864021
