Source Term Id,Source Term,Mapped Term Label,Mapped Term IRI,Mapping Score
INDFMPIR,Family PIR,pine family,http://purl.obolibrary.org/obo/FOODON_03415094,0.6831368447190421
DRDCCMTY,Combination food type,paper-plastic combination,http://purl.obolibrary.org/obo/FOODON_03490355,0.5025695415684243
DRDISODI,Sodium (mg),low sodium food,http://purl.obolibrary.org/obo/FOODON_03317213,0.7330212682734203
DRXIALCO,Alcohol (gm),fruit in alcohol,http://purl.obolibrary.org/obo/FOODON_03307283,0.7344870216609203
DRXICAFF,Caffeine (mg),food bar (caffeine added),http://purl.obolibrary.org/obo/FOODON_03305089,0.6112811754179555
DRXICALC,Calcium (mg),calcium malate,http://purl.obolibrary.org/obo/FOODON_03413045,0.7359870260348095
DRXICARB,Carbohydrate (gm),carbohydrate reduced food,http://purl.obolibrary.org/obo/FOODON_03315824,0.792417576869363
DRXICARO,Carotene (RE),mixed carotenes,http://purl.obolibrary.org/obo/FOODON_03413154,0.6622023061646695
DRXICHOL,Cholesterol (mg),cholesterol free claim or use,http://purl.obolibrary.org/obo/FOODON_03510042,0.6034477735308447
DRXICOPP,Copper (mg),copper added,http://purl.obolibrary.org/obo/FOODON_03460775,0.6675719844227977
DRXIFIBE,Dietary fiber (gm),low fiber food,http://purl.obolibrary.org/obo/FOODON_03510063,0.521279606278538
DRXIIRON,Iron (mg),iron added,http://purl.obolibrary.org/obo/FOODON_03460181,0.6605405091719063
DRXIKCAL,Energy (kcal),energy drink,http://purl.obolibrary.org/obo/FOODON_00003189,0.6356543366499233
DRXIMAGN,Magnesium (mg),magnesium added,http://purl.obolibrary.org/obo/FOODON_03460774,0.8159932445524314
DRXIMFAT,Total monounsaturated fatty acids (gm),high monounsaturated fat,http://purl.obolibrary.org/obo/FOODON_03510243,0.6681520457068895
DRXINIAC,Niacin (mg),"44770 - vitamin b3   (niacin, niacinamide) (efsa foodex2)",http://purl.obolibrary.org/obo/FOODON_03544477,0.5559378890977602
DRXIPFAT,Total polyunsaturated fatty acids (gm),high polyunsaturated fat,http://purl.obolibrary.org/obo/FOODON_03510246,0.6928240533692147
DRXIPHOS,Phosphorus (mg),phosphorus added,http://purl.obolibrary.org/obo/FOODON_03460223,0.8610228167828695
DRXIPOTA,Potassium (mg),potassium malate,http://purl.obolibrary.org/obo/FOODON_03413214,0.7752436225250436
DRXIPROT,Protein (gm),fish protein,http://purl.obolibrary.org/obo/FOODON_03315816,0.7756559822117405
DRXISELE,Selenium (mcg),selenium added,http://purl.obolibrary.org/obo/FOODON_03460777,0.7362660229904032
DRXISFAT,Total saturated fatty acids (gm),saturated fat free food,http://purl.obolibrary.org/obo/FOODON_03510179,0.5427633431583964
DRXITFAT,Total fat (gm),fat,http://purl.obolibrary.org/obo/FOODON_00003265,0.5963232924856521
DRXIVARE,Vitamin A (RE),vitamin preparation,http://purl.obolibrary.org/obo/FOODON_03310620,0.5873483900021168
DRXIVB1,Thiamin (Vitamin B1) (mg),44750 - vitamin b1   (thiamine) (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03544475,0.6932740696017522
