Source Term Id,Source Term,Mapped Term Label,Mapped Term IRI,Mapping Score
DMDYRSUS,Length of time in US,Increased length of the tibia,http://purl.obolibrary.org/obo/HP_0010504,0.6099947869100761
INDFMPIR,Family PIR,Family history,http://purl.obolibrary.org/obo/HP_0032316,0.5601610126491374
RIAGENDR,Gender,Tender,http://purl.obolibrary.org/obo/HP_0025283,0.6509141020136295
RIDEXPRG,Pregnancy Status at Exam - Recode,Pregnancy exposure,http://purl.obolibrary.org/obo/HP_0031437,0.506223084418595
DRDISODI,Sodium (mg),Renal sodium wasting,http://purl.obolibrary.org/obo/HP_0012606,0.6216308396292447
DRXIALCO,Alcohol (gm),Alcoholism,http://purl.obolibrary.org/obo/HP_0030955,0.7587088482181957
DRXICALC,Calcium (mg),Renal calcium wasting,http://purl.obolibrary.org/obo/HP_0012637,0.6085051035771195
DRXICARB,Carbohydrate (gm),Abnormal urine carbohydrate level,http://purl.obolibrary.org/obo/HP_0031979,0.7575436759344152
DRXICHOL,Cholesterol (mg),Elevated cholesterol ester level,http://purl.obolibrary.org/obo/HP_0031211,0.6629489119375375
DRXICOPP,Copper (mg),Abnormal urinary copper concentration,http://purl.obolibrary.org/obo/HP_0045036,0.5234071722399045
DRXIMAGN,Magnesium (mg),Abnormal magnesium concentration,http://purl.obolibrary.org/obo/HP_0004921,0.7285859710928145
DRXIMFAT,Total monounsaturated fatty acids (gm),Abnormal circulating unsaturated fatty acid concentration,http://purl.obolibrary.org/obo/HP_0011022,0.5780641914144168
DRXIPFAT,Total polyunsaturated fatty acids (gm),Abnormal circulating unsaturated fatty acid concentration,http://purl.obolibrary.org/obo/HP_0011022,0.5530702275476743
DRXIPOTA,Potassium (mg),Increased urinary potassium,http://purl.obolibrary.org/obo/HP_0003081,0.6863395106790147
DRXIPROT,Protein (gm),Proteinuria,http://purl.obolibrary.org/obo/HP_0000093,0.638939863975706
DRXISELE,Selenium (mcg),Abnormal circulating selenium concentration,http://purl.obolibrary.org/obo/HP_0031903,0.5443059013666647
