Source Term Id,Source Term,Mapped Term Label,Mapped Term IRI,Mapping Score
DMDMARTL,Marital Status,status epilepticus,http://purl.obolibrary.org/obo/MONDO_0002125,0.5589106908606312
RIAGENDR,Gender,gender dysphoria,http://purl.obolibrary.org/obo/MONDO_0001153,0.6191754536596064
RIDEXPRG,Pregnancy Status at Exam - Recode,pregnancy disorder,http://purl.obolibrary.org/obo/MONDO_0024575,0.5335221914009463
DRD030,Coded meal name,Carney complex,http://purl.obolibrary.org/obo/MONDO_0015285,0.6225219015375724
DRD040,Meal Place,placenta neoplasm,http://purl.obolibrary.org/obo/MONDO_0021218,0.5618613394859588
DRDISODI,Sodium (mg),congenital sodium diarrhea,http://purl.obolibrary.org/obo/MONDO_0015170,0.5621231719712929
DRDMRUF,Flag for modified recipe use,disease characteristic,http://purl.obolibrary.org/obo/MONDO_0021125,0.505636714843045
DRXIALCO,Alcohol (gm),alcohol dependence,http://purl.obolibrary.org/obo/MONDO_0007079,0.7642310975977412
DRXICALC,Calcium (mg),calcium metabolic disease,http://purl.obolibrary.org/obo/MONDO_0005557,0.5964885186423363
DRXICARB,Carbohydrate (gm),carbohydrate transport disease,http://purl.obolibrary.org/obo/MONDO_0045015,0.7032172756057266
DRXICARO,Carotene (RE),carotenemia,http://purl.obolibrary.org/obo/MONDO_0021162,0.7627731699336394
DRXICHOL,Cholesterol (mg),cholesteryl ester storage disease,http://purl.obolibrary.org/obo/MONDO_0019149,0.6875751915847103
DRXICOPP,Copper (mg),Menkes disease,http://purl.obolibrary.org/obo/MONDO_0010651,0.5418389066076426
DRXIIRON,Iron (mg),iron metabolism disease,http://purl.obolibrary.org/obo/MONDO_0002279,0.654653840954222
DRXIMAGN,Magnesium (mg),magnesium deficiency,http://purl.obolibrary.org/obo/MONDO_0006844,0.7708668961032146
DRXINIAC,Niacin (mg),pellagra,http://purl.obolibrary.org/obo/MONDO_0019975,0.6443864946340768
DRXIPHOS,Phosphorus (mg),phosphorus metabolism disease,http://purl.obolibrary.org/obo/MONDO_0002319,0.8244737184458224
DRXIPOTA,Potassium (mg),potassium deficiency,http://purl.obolibrary.org/obo/MONDO_0006919,0.7495849874831617
DRXIPROT,Protein (gm),prion disease,http://purl.obolibrary.org/obo/MONDO_0005429,0.6869569216342302
DRXIVAIU,Vitamin A (IU),intermediate uveitis,http://purl.obolibrary.org/obo/MONDO_0006806,0.6395997349924587
DRXIVARE,Vitamin A (RE),vitamin A deficiency,http://purl.obolibrary.org/obo/MONDO_0007016,0.703303739836543
DRXIVB1,Thiamin (Vitamin B1) (mg),beriberi,http://purl.obolibrary.org/obo/MONDO_0006676,0.6190262521808695
DRXIVB12,Vitamin B12 (mcg),vitamin B12 deficiency,http://purl.obolibrary.org/obo/MONDO_0020696,0.733360523905159
DRXIVB2,Riboflavin (Vitamin B2) (mg),ariboflavinosis,http://purl.obolibrary.org/obo/MONDO_0004573,0.6591824065243118
DRXIVB6,Vitamin B6 (mg),pyridoxine deficiency anemia,http://purl.obolibrary.org/obo/MONDO_0004574,0.7249771917404277
DRXIVC,Vitamin C (mg),scurvy,http://purl.obolibrary.org/obo/MONDO_0009412,0.6920595199093663
