Source Term Id,Source Term,Mapped Term Label,Mapped Term IRI,Mapping Score
DMDBORN,Country of Birth - Recode,Country of birth (finding),http://snomed.info/id/370159000,0.764302395105679
DMDEDUC,Education - Recode (old version),Education (procedure),http://snomed.info/id/409073007,0.570081493347066
DMDEDUC2,Education Level - Adults 20+,Adult education (finding),http://snomed.info/id/161125007,0.6385355196409391
DMDEDUC3,Education Level - Children/Youth 6-19,Child care education (procedure),http://snomed.info/id/408991007,0.5220563371613667
DMDHHSIZ,Total number of people in the Household,Number in household (observable entity),http://snomed.info/id/224525003,0.6331277425369779
DMDHRAGE,HH Ref Person Age,Person (person),http://snomed.info/id/125676002,0.5902053765751295
DMDHRBRN,HH Ref Person Country of Birth,Country of birth (finding),http://snomed.info/id/370159000,0.6412784843019217
DMDHREDU,HH Ref Person Education Level,Personal care education (procedure),http://snomed.info/id/410218002,0.6105801706686594
DMDHRGND,HH Ref Person Gender,Person (person),http://snomed.info/id/125676002,0.5115500975676568
DMDHSEDU,HH Ref Person's Spouse Education Level,Personal care education (procedure),http://snomed.info/id/410218002,0.554243703452021
DMDMARTL,Marital Status,Marital status (observable entity),http://snomed.info/id/125680007,0.6853238205572303
DMDSCHOL,Now attending school?,Attending school (finding),http://snomed.info/id/224305003,0.850477535152385
DMDYRSUS,Length of time in US,Length of gestation at time of procedure (observable entity),http://snomed.info/id/445872007,0.591854799859602
INDFMINC,Annual Family Income,Income paid annually (finding),http://snomed.info/id/224184008,0.6315002747767733
INDFMPIR,Family PIR,Family Picidae (organism),http://snomed.info/id/107141005,0.5169700877862113
INDHHINC,Annual Household Income,No household income (finding),http://snomed.info/id/224169004,0.688616482433468
RIAGENDR,Gender,Gender identity disorder (disorder),http://snomed.info/id/87991007,0.5778441033865881
RIDEXPRG,Pregnancy Status at Exam - Recode,Precocious pregnancy (finding),http://snomed.info/id/14418008,0.5247535098002162
RIDRETH1,Race/Ethnicity - Recode,Ethnicity of carer (observable entity),http://snomed.info/id/443225003,0.5255501611470529
RIDSTATR,Interview/Examination Status,Special examination status (finding),http://snomed.info/id/243881001,0.5799006006481545
SDDSRVYR,Data Release Number,Release (procedure),http://snomed.info/id/115956009,0.5648261635547874
DRDCCMTY,Combination food type,Combination of positions (finding),http://snomed.info/id/260233009,0.5392659782647721
DRDDRSTS,Dietary recall status,Patient recall status (finding),http://snomed.info/id/308399000,0.5885741451633416
DRDINTMD,Mode of interview,Social service interview of patient (procedure),http://snomed.info/id/2658000,0.5802722877915263
DRDISODI,Sodium (mg),Sodium (substance),http://snomed.info/id/39972003,0.6975166784948368
DRXIALCO,Alcohol (gm),Alcohol (substance),http://snomed.info/id/53041004,0.778580539323622
DRXICAFF,Caffeine (mg),Caffeine (product),http://snomed.info/id/91107009,0.8101212976063866
DRXICALC,Calcium (mg),Calcium (substance),http://snomed.info/id/5540006,0.7270516535102005
DRXICARB,Carbohydrate (gm),Carbohydrate (substance),http://snomed.info/id/2331003,0.8315560408603193
DRXICARO,Carotene (RE),Carotene (substance),http://snomed.info/id/73131003,0.7374743603952629
DRXICHOL,Cholesterol (mg),Cholesterol (substance),http://snomed.info/id/84698008,0.7719833696811388
DRXICOPP,Copper (mg),Copper (product),http://snomed.info/id/422528000,0.7025732061121793
DRXIFIBE,Dietary fiber (gm),Dietary fiber (substance),http://snomed.info/id/116272000,0.8067510840637151
DRXIGRMS,Grams,Grams per gram of creatinine (qualifier value),http://snomed.info/id/419800004,0.6185293710375763
DRXIIRON,Iron (mg),Iron (substance),http://snomed.info/id/3829006,0.6037158447366985
DRXIKCAL,Energy (kcal),Energy (finding),http://snomed.info/id/248272003,0.6296803233498918
DRXIM181,MFA 18:1 (Octadecenoic) (gm),Octadecenoic acid (substance),http://snomed.info/id/301304005,0.642622225762507
DRXIMAGN,Magnesium (mg),Magnesium (substance),http://snomed.info/id/72717003,0.7895915160808008
DRXIMFAT,Total monounsaturated fatty acids (gm),Monounsaturated fatty acid (substance),http://snomed.info/id/102718001,0.7924115858418861
DRXINIAC,Niacin (mg),Niacin measurement (procedure),http://snomed.info/id/104830002,0.5739983932293624
DRXIP204,PFA 20:4 (Eicosatetraenoic) (gm),Hydroperoxy eicosatetraenoic acid (substance),http://snomed.info/id/19917006,0.6040584647603087
DRXIP205,PFA 20:5 (Eicosapentaenoic) (gm),Eicosapentanoic acid (substance),http://snomed.info/id/226367006,0.590426745499223
DRXIP226,PFA 22:6 (Docosahexaenoic) (gm),Docosahexaenoic acid (substance),http://snomed.info/id/226368001,0.7369144591575297
DRXIPFAT,Total polyunsaturated fatty acids (gm),Polyunsaturated fatty acid (substance),http://snomed.info/id/102717006,0.809361084064683
DRXIPHOS,Phosphorus (mg),Phosphorus (substance),http://snomed.info/id/30820000,0.8096248655594688
DRXIPOTA,Potassium (mg),Potassium (substance),http://snomed.info/id/88480006,0.7723142540909511
DRXIPROT,Protein (gm),Protein (substance),http://snomed.info/id/88878007,0.6838521602050125
DRXIS180,SFA 18:0 (Octadecanoic) (gm),Octadecanoic acid (substance),http://snomed.info/id/259577009,0.6357696336808366
DRXISELE,Selenium (mcg),Selenium (substance),http://snomed.info/id/22038003,0.7090975378030724
DRXISFAT,Total saturated fatty acids (gm),Saturated fatty acid (substance),http://snomed.info/id/102719009,0.7173123096044054
DRXITFAT,Total fat (gm),Total body fat (observable entity),http://snomed.info/id/248361005,0.5506485284939409
DRXITHEO,Theobromine (mg),Theobromine (substance),http://snomed.info/id/75371004,0.8212478528372932
DRXIVAIU,Vitamin A (IU),Vitamin A (substance),http://snomed.info/id/82622003,0.6049840974737071
DRXIVARE,Vitamin A (RE),Vitamin A (substance),http://snomed.info/id/82622003,0.737398633619349
DRXIVB1,Thiamin (Vitamin B1) (mg),Vitamin B1 (substance),http://snomed.info/id/259659006,0.6430766991187826
DRXIVB12,Vitamin B12 (mcg),Disorder of vitamin B12 (disorder),http://snomed.info/id/386067009,0.7082269272174418
DRXIVB2,Riboflavin (Vitamin B2) (mg),Riboflavin (substance),http://snomed.info/id/13235001,0.6566454252165373
DRXIVB6,Vitamin B6 (mg),Vitamin B6 (substance),http://snomed.info/id/259662009,0.8048262458320727
DRXIVC,Vitamin C (mg),Vitamin B complex + vitamin C (product),http://snomed.info/id/412581007,0.7309817972394352
DRXIVE,Vitamin E (ATE) (mg),Vitamin E (substance),http://snomed.info/id/37237003,0.6665382040473792
DRXIZINC,Zinc (mg),Zinc (substance),http://snomed.info/id/86739005,0.7194005099804262
DRD350C,Crayfish eaten during past 30 days,Crayfish (organism),http://snomed.info/id/243678009,0.6332328414027155
DRD350E,Mussels eaten during past 30 days,Mussels (substance),http://snomed.info/id/227150003,0.5618648966338676
DRD350H,Shrimp eaten during past 30 days,Shrimp agent (substance),http://snomed.info/id/278840001,0.511767014959042
DRD350I,Other shellfish eaten past 30 days,Shellfish (organism),http://snomed.info/id/54787006,0.6990893716378956
DRD350J,Other unknown shellfish eaten past 30 d,Shellfish (organism),http://snomed.info/id/54787006,0.5747293524898428
DRD350K,Refused,Refused (qualifier value),http://snomed.info/id/443390004,0.6601996671881635
DRD370H,Mackerel eaten during past 30 days,Mackerel (organism),http://snomed.info/id/302368009,0.5642938893646265
DRD370P,Shark eaten during past 30 days,Shark (organism),http://snomed.info/id/71352007,0.5262745707399841
DRD370Q,Swordfish eaten during past 30 days,Swordfish - dietary (substance),http://snomed.info/id/227140004,0.5829562377305412
