Source Term Id,Source Term,Mapped Term Label,Mapped Term IRI,Mapping Score
DMDBORN,Country of Birth - Recode,start of neonate stage,http://purl.obolibrary.org/obo/UBERON_0035946,0.5203533426779923
DMDEDUC2,Education Level - Adults 20+,adult organism,http://purl.obolibrary.org/obo/UBERON_0007023,0.5034123219292629
DRD040,Meal Place,placenta,http://purl.obolibrary.org/obo/UBERON_0001987,0.5894659015825621
DRXICALC,Calcium (mg),bone tissue,http://purl.obolibrary.org/obo/UBERON_0002481,0.7480930357189133
DRXICARO,Carotene (RE),carotid artery segment,http://purl.obolibrary.org/obo/UBERON_0005396,0.5057671844692331
DRXIFIBE,Dietary fiber (gm),nerve fiber,http://purl.obolibrary.org/obo/UBERON_0006134,0.5167144861805284
DRXITFAT,Total fat (gm),adipose tissue,http://purl.obolibrary.org/obo/UBERON_0001013,0.5961965149291873
DRXTCALC,Calcium (mg),bone tissue,http://purl.obolibrary.org/obo/UBERON_0002481,0.7480930357189133
DRXTCARO,Carotene (RE),carotid artery segment,http://purl.obolibrary.org/obo/UBERON_0005396,0.5057671844692331
DRXTFIBE,Dietary fiber (gm),nerve fiber,http://purl.obolibrary.org/obo/UBERON_0006134,0.5167144861805284
DRXTTFAT,Total fat (gm),adipose tissue,http://purl.obolibrary.org/obo/UBERON_0001013,0.5961965149291873
DSD010,Any Dietary Supplements Taken?,apical supplementary element,http://purl.obolibrary.org/obo/UBERON_3010837,0.561175030737381
DSDCOUNT,Total # of Dietary Supplements Taken,apical supplementary element,http://purl.obolibrary.org/obo/UBERON_3010837,0.5228377446827639
DSDANTA,Antacid Reported as Dietary Supplement,anterolateral supplementary element,http://purl.obolibrary.org/obo/UBERON_3010838,0.5272318547387085
DSDMTCH,Matching Code,hatching gland,http://purl.obolibrary.org/obo/UBERON_0002538,0.5843836002755359
DSDSUPID,Supplement ID Number,apical supplementary element,http://purl.obolibrary.org/obo/UBERON_3010837,0.535606809023497
DSDSUPP,Supplement Name,apical supplementary element,http://purl.obolibrary.org/obo/UBERON_3010837,0.5707163534230744
BPACSZ,Coded cuff size,rotator cuff,http://purl.obolibrary.org/obo/UBERON_0003683,0.5217582706586358
BPXPULS,Pulse regular or irregular?,irregular bone,http://purl.obolibrary.org/obo/UBERON_0008001,0.7183595400204954
PEASCCT1,Blood Pressure Comment,blood,http://purl.obolibrary.org/obo/UBERON_0000178,0.5333188983290378
BMALLEXT,Amputations: Lower Left Extremity?,hindlimb bone,http://purl.obolibrary.org/obo/UBERON_0003464,0.6412647892236909
BMALOREX,Amputations: Lower Right Extremity?,hindlimb bone,http://purl.obolibrary.org/obo/UBERON_0003464,0.6396214100396748
BMAULEXT,Amputations: Upper Left Extremity?,forelimb,http://purl.obolibrary.org/obo/UBERON_0002102,0.6982762915246861
BMAUPLEL,Amputations: UL Above or Below Elbow?,elbow,http://purl.obolibrary.org/obo/UBERON_0001461,0.519355782589215
BMAUPREL,Amputations: UR Above or Below Elbow?,elbow,http://purl.obolibrary.org/obo/UBERON_0001461,0.5282958414195066
BMAUREXT,Amputations: Upper Right Extremity?,forelimb,http://purl.obolibrary.org/obo/UBERON_0002102,0.6964834743494704
BMIARMC,Arm Circumference Comment,circumferential groove,http://purl.obolibrary.org/obo/UBERON_3010175,0.625899253736913
BMIARML,Upper Arm Length Comment,forelimb stylopod,http://purl.obolibrary.org/obo/UBERON_0003822,0.6724850658739772
BMIHEAD,Head Circumference Comment,circumferential groove,http://purl.obolibrary.org/obo/UBERON_3010175,0.6209192022472526
BMILEG,Upper Leg Length Comment,hindlimb stylopod,http://purl.obolibrary.org/obo/UBERON_0000376,0.711417004470804
BMISUB,Subscapular Skinfold Comment,subscapularis muscle,http://purl.obolibrary.org/obo/UBERON_0001129,0.6905702061716397
BMITHICR,Thigh Circumference Comment,circumferential groove,http://purl.obolibrary.org/obo/UBERON_3010175,0.5968546906284983
BMITRI,Triceps Skinfold Comment,triceps brachii,http://purl.obolibrary.org/obo/UBERON_0001509,0.668687707955965
BMIWAIST,Waist Circumference Comment,circumferential groove,http://purl.obolibrary.org/obo/UBERON_3010175,0.5761192803516658
BMXARMC,Arm Circumference (cm),circumferential groove,http://purl.obolibrary.org/obo/UBERON_3010175,0.6153800975569534
BMXARML,Upper Arm Length (cm),forelimb stylopod,http://purl.obolibrary.org/obo/UBERON_0003822,0.6780208375318507
BMXCALF,Maximal Calf Circumference (cm),circumferential groove,http://purl.obolibrary.org/obo/UBERON_3010175,0.5039175641211538
BMXHEAD,Head Circumference (cm),circumferential groove,http://purl.obolibrary.org/obo/UBERON_3010175,0.6104234751128104
BMXLEG,Upper Leg Length (cm),hindlimb stylopod,http://purl.obolibrary.org/obo/UBERON_0000376,0.716844881113287
BMXSUB,Subscapular Skinfold (mm),subscapularis muscle,http://purl.obolibrary.org/obo/UBERON_0001129,0.7090198371454184
BMXTHICR,Thigh Circumference (cm),circumferential groove,http://purl.obolibrary.org/obo/UBERON_3010175,0.5864925520483968
BMXTRI,Triceps Skinfold (mm),triceps brachii,http://purl.obolibrary.org/obo/UBERON_0001509,0.6921688960666997
BMXWAIST,Waist Circumference (cm),circumferential groove,http://purl.obolibrary.org/obo/UBERON_3010175,0.5658985566374355
CVDEXCL2,Excluded per cardiovascular conditions,cardiovascular system,http://purl.obolibrary.org/obo/UBERON_0004535,0.6769685049329459
CVDEXCL3,Excluded per lung/breathing conditions,lung,http://purl.obolibrary.org/obo/UBERON_0002048,0.5280599823821697
CVDEXCL6,Excluded per other specific reasons,intralaminar nuclear group,http://purl.obolibrary.org/obo/UBERON_0002733,0.507151375349725
CVDFITLV,Cardiovascular fitness level,cardiovascular system,http://purl.obolibrary.org/obo/UBERON_0004535,0.634374941692302
AUQ010,Have Ear Tube Right or Left Ear?,tube,http://purl.obolibrary.org/obo/UBERON_0000025,0.6379665742815037
