Source Term Id,Source Term,Mapped Term Label,Mapped Term IRI,Mapping Score
DMDYRSUS,Length of time in US,length unit,http://purl.obolibrary.org/obo/UO_0000001,0.7266137040899807
DRDDAY,Intake day of week,week,http://purl.obolibrary.org/obo/UO_0000034,0.6111366530598469
DRXIGRMS,Grams,gram,http://purl.obolibrary.org/obo/UO_0000021,0.6730158798199731
DRXIKCAL,Energy (kcal),energy unit,http://purl.obolibrary.org/obo/UO_0000111,0.7604036786375266
DRD370I,Perch eaten during past 30 days,perch,http://purl.obolibrary.org/obo/UO_0010023,0.5440006841789901
DRDDAY,Intake day of the week,week,http://purl.obolibrary.org/obo/UO_0000034,0.6111366530598469
DRQ370IQ,Num times perch eaten in past 30 days,perch,http://purl.obolibrary.org/obo/UO_0010023,0.5218705059626279
DRXTKCAL,Energy (kcal),energy unit,http://purl.obolibrary.org/obo/UO_0000111,0.7604036786375266
DSD070,Was Container Seen?,amount per container,http://purl.obolibrary.org/obo/UO_0000276,0.5185535892117161
DSD120U,Dosage Form,dosage unit,http://purl.obolibrary.org/obo/UO_0000310,0.7694401810402656
BPQ150A,Had food in the past 30 minutes?,minute,http://purl.obolibrary.org/obo/UO_0000031,0.5382965049889007
PEASCCT1,Blood Pressure Comment,pressure unit,http://purl.obolibrary.org/obo/UO_0000109,0.6601553313534048
PEASCST1,Blood Pressure Status,pressure unit,http://purl.obolibrary.org/obo/UO_0000109,0.5947964620722533
PEASCTM1,Blood Pressure Time in Seconds,pressure unit,http://purl.obolibrary.org/obo/UO_0000109,0.5147510282313181
BMAEXLEN,Length of a MEC exam (sec),length unit,http://purl.obolibrary.org/obo/UO_0000001,0.5502415436509235
BMIARML,Upper Arm Length Comment,length unit,http://purl.obolibrary.org/obo/UO_0000001,0.5863522155863599
BMILEG,Upper Leg Length Comment,length unit,http://purl.obolibrary.org/obo/UO_0000001,0.6257650573027329
BMIRECUM,Recumbent Length Comment,length unit,http://purl.obolibrary.org/obo/UO_0000001,0.5555036538009176
BMXARML,Upper Arm Length (cm),length unit,http://purl.obolibrary.org/obo/UO_0000001,0.5911789576826412
BMXLEG,Upper Leg Length (cm),length unit,http://purl.obolibrary.org/obo/UO_0000001,0.6305394378936807
BMXRECUM,Recumbent Length (cm),length unit,http://purl.obolibrary.org/obo/UO_0000001,0.5781482068747257
CVATEMP,Room temperature (degrees F),temperature unit,http://purl.obolibrary.org/obo/UO_0000005,0.5940212651300205
CVDEXCL6,Excluded per other specific reasons,specific volume unit,http://purl.obolibrary.org/obo/UO_0000059,0.6189613481503482
AUAFMANL,Frequency Switch to Manual Mode Left,frequency unit,http://purl.obolibrary.org/obo/UO_0000105,0.5305880916947181
AUAFMANR,Frequency-Switch to Manual Mode Right,frequency unit,http://purl.obolibrary.org/obo/UO_0000105,0.5292754956485742
AUXLOABN,Other Exam Abnormality Left Ear?,unit of normality,http://purl.obolibrary.org/obo/UO_0000074,0.5272223410677889
AUXOTSPL,Normal Otoscopy Left Ear?,normal,http://purl.obolibrary.org/obo/UO_0000075,0.5129381461887415
