Source Term Id,Source Term,Mapped Term Label,Mapped Term IRI,Mapping Score,Ontology
DEMO,Demographic Variables & Sample Weights,dermatographia,http://www.ebi.ac.uk/efo/EFO_1000685,0.4023260848319011,EFO
DRXIFF,Dietary Interview - Individual Foods,individual,http://www.ebi.ac.uk/efo/EFO_0000542,0.5607016467293179,EFO
DRXTOT,Dietary Interview - Total Nutrient Intakes,total fat intake measurement,http://www.ebi.ac.uk/efo/EFO_0007678,0.4493793213265949,EFO
DSQFILE1,"Dietary Supplement Use 30-Day - File 1, Supplement Counts",vitamin supplement exposure measurement,http://www.ebi.ac.uk/efo/EFO_0009116,0.48814264055851836,EFO
DSQFILE2,"Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements",vitamin supplement exposure measurement,http://www.ebi.ac.uk/efo/EFO_0009116,0.4203716133697605,EFO
BPX,Blood Pressure,blood pressure,http://www.ebi.ac.uk/efo/EFO_0004325,0.9812440874432382,EFO
BMX,Body Measures,body weights and measures,http://www.ebi.ac.uk/efo/EFO_0004324,0.9242664145340951,EFO
CVX,Cardiovascular Fitness,cardiovascular disease,http://www.ebi.ac.uk/efo/EFO_0000319,0.6985640493524561,EFO
AUX1,Audiometry,pure tone hearing measurement,http://www.ebi.ac.uk/efo/EFO_0007617,0.7862933476391523,EFO
AUXTYM,Audiometry - Tympanometry,pure tone hearing measurement,http://www.ebi.ac.uk/efo/EFO_0007617,0.5796038397982239,EFO
BAX,Balance,balanitis,http://www.ebi.ac.uk/efo/EFO_1000833,0.6318257139844087,EFO
LEXABPI,Lower Extremity Disease - Ankle Brachial Blood Pressure Index,ankle brachial index,http://www.ebi.ac.uk/efo/EFO_0003912,0.7026933352245222,EFO
LEXPN,Lower Extremity Disease - Peripheral Neuropathy,peripheral neuropathy,http://www.ebi.ac.uk/efo/EFO_0003100,0.6926348947126163,EFO
MSX,Muscle Strength,foot muscle strength measurement,http://www.ebi.ac.uk/efo/EFO_0009699,0.7882962586208331,EFO
OHXDENT,Oral Health - Dentition,mental health,http://www.ebi.ac.uk/efo/EFO_0003935,0.5003701330865308,EFO
OHXPERIO,Oral Health - Periodontal,periodontal measurement,http://www.ebi.ac.uk/efo/EFO_0007780,0.7139572216997995,EFO
TB,Tuberculosis,oral tuberculosis,http://www.ebi.ac.uk/efo/EFO_0007407,0.8705430175809081,EFO
VIX,Vision,binocular vision disease,http://www.ebi.ac.uk/efo/EFO_0009535,0.6086295660248273,EFO
AUXAR,Audiometry - Acoustic Reflex,schwannoma,http://www.ebi.ac.uk/efo/EFO_0000693,0.4822107759825906,EFO
SSCHL_A,Sex Steroid Hormone - Men (Surplus),sex hormone measurement,http://www.ebi.ac.uk/efo/EFO_0011008,0.6319612495337041,EFO
L02HBS,Hepatitis B Surface Antibody,Hepatitis B virus surface antigen seropositivity,http://www.ebi.ac.uk/efo/EFO_0009345,0.6177918080485328,EFO
L02HPA_a,Hepatitis A Antibody,hepatitis A virus infection,http://www.ebi.ac.uk/efo/EFO_0007305,0.7638785184760557,EFO
PH,Fasting Questionnaire,TEMPS-A questionnaire,http://www.ebi.ac.uk/efo/EFO_0004783,0.6185177124758012,EFO
UC,Pregnancy Test - Urine,pregnancy test,http://www.ebi.ac.uk/efo/EFO_0009643,0.923538395699167,EFO
LAB03,"HIV Antibody Test, CD4+ T Lymphocytes & CD8+ T Cells",CD4:CD8 lymphocyte ratio,http://www.ebi.ac.uk/efo/EFO_0004839,0.4772775823382159,EFO
LAB04,Volatile Organic Compounds - Blood & Water,ORGANIC,http://www.ebi.ac.uk/efo/EFO_0008838,0.41565538564938936,EFO
LAB05,Chlamydia & Gonorrhea - Urine,Chlamydia trachomatis infectious disease,http://www.ebi.ac.uk/efo/EFO_0007205,0.6285313097625621,EFO
LAB06,"Cadmium, Lead, Mercury, Cotinine & Nutritional Biochemistries",nutritional disorder,http://www.ebi.ac.uk/efo/EFO_0001069,0.42246125974120974,EFO
LAB07,Latex,lateral,http://www.ebi.ac.uk/efo/EFO_0001657,0.4995140007218822,EFO
LAB10,Glycohemoglobin,Hemoglobin B Measurement,http://www.ebi.ac.uk/efo/EFO_0009213,0.7089167407546244,EFO
LAB10AM,"Plasma Fasting Glucose, Serum C-peptide & Insulin",fasting blood glucose measurement,http://www.ebi.ac.uk/efo/EFO_0004465,0.7023511838006858,EFO
LAB11,C-Reactive Protein (CRP),C-reactive protein measurement,http://www.ebi.ac.uk/efo/EFO_0004458,0.5840233855023256,EFO
Lab13,Cholesterol - Total & HDL,total cholesterol measurement,http://www.ebi.ac.uk/efo/EFO_0004574,0.7423571307702822,EFO
LAB13AM,Cholesterol - LDL & Triglycerides,low density lipoprotein triglyceride measurement,http://www.ebi.ac.uk/efo/EFO_0009946,0.7128472804075959,EFO
LAB16,Albumin & Creatinine - Urine,urinary albumin to creatinine ratio,http://www.ebi.ac.uk/efo/EFO_0007778,0.8425326918194066,EFO
LAB17,Cryptosporidum & Toxoplasma,toxoplasmosis,http://www.ebi.ac.uk/efo/EFO_0007517,0.4196722365629052,EFO
LAB18T4,Thyroid - Stimulating Hormone & Thyroxine (TSH & T4),thyroid stimulating hormone measurement,http://www.ebi.ac.uk/efo/EFO_0004748,0.7353445469066036,EFO
LAB19,"Measles, Rubella, & Varicella",chickenpox,http://www.ebi.ac.uk/efo/EFO_0007204,0.7366201578172681,EFO
LAB20,Lead - Dust,rectal adenocarcinoma,http://www.ebi.ac.uk/efo/EFO_0005631,0.4184556856265502,EFO
LAB21,Volatile Organic Compounds (VOC) - Personal Exposure Badge,exposure,http://www.ebi.ac.uk/efo/EFO_0000487,0.4321063596943539,EFO
LAB25,Complete Blood Count with 5-part Differential - Whole Blood,Blood Cell Count with Differential,http://www.ebi.ac.uk/efo/EFO_0009234,0.7756983949507221,EFO
LAB22,Mercury - Hair,hair color,http://www.ebi.ac.uk/efo/EFO_0003924,0.6000029809372361,EFO
SSFOL_A,Folic Acid - Unmetabolized (Surplus),metabolic disease,http://www.ebi.ac.uk/efo/EFO_0000589,0.5066899916871201,EFO
lab09,Herpes Simplex Virus Type-1 & Type-2,HSV1 seropositivity,http://www.ebi.ac.uk/efo/EFO_0007050,0.6641605574409222,EFO
