Source Term Id,Source Term,Mapped Term Label,Mapped Term IRI,Mapping Score,Ontology
DMAETHN,Logical Imputation Flag for Ethnicity,ethnic group,http://www.ebi.ac.uk/efo/EFO_0001799,0.5439104444405856,EFO
DMDBORN,Country of Birth - Recode,birth rate,http://www.ebi.ac.uk/efo/EFO_0004804,0.512851073225586,EFO
DMDHHSIZ,Total number of people in the Household,household income,http://www.ebi.ac.uk/efo/EFO_0009695,0.518428894632071,EFO
DMDHRAGE,Age,age,http://www.ebi.ac.uk/efo/EFO_0000246,0.9970638281565711,EFO
DMDHRBRN,Country of Birth,birth rate,http://www.ebi.ac.uk/efo/EFO_0004804,0.6082247472824838,EFO
DMDHRGND,Gender,gender identity disorder,http://www.ebi.ac.uk/efo/EFO_0008587,0.6347717781230223,EFO
DMDHRMAR,Marital Status,status epilepticus,http://www.ebi.ac.uk/efo/EFO_0008526,0.5671838683504807,EFO
DMDYRSUS,Length of time in US,infant body height,http://www.ebi.ac.uk/efo/EFO_0006785,0.630861370732836,EFO
INDFMPIR,Family PIR,family history,http://www.ebi.ac.uk/efo/EFO_0000493,0.5377414616151858,EFO
INDHHINC,Annual Household Income,household income,http://www.ebi.ac.uk/efo/EFO_0009695,0.7823083672660502,EFO
RIAGENDR,Gender,gender identity disorder,http://www.ebi.ac.uk/efo/EFO_0008587,0.6347717781230223,EFO
RIDEXPRG,Pregnancy Status at Exam - Recode,pregnancy,http://www.ebi.ac.uk/efo/EFO_0002950,0.6089733070512748,EFO
RIDPREG,Pregnancy Status - Recode (old version),pregnancy,http://www.ebi.ac.uk/efo/EFO_0002950,0.5555656945384414,EFO
RIDRETH1,Race/Ethnicity - Recode,ethnic group,http://www.ebi.ac.uk/efo/EFO_0001799,0.7617093593050921,EFO
RIDRETH2,Linked NH3 Race/Ethnicity - Recode,ethnic group,http://www.ebi.ac.uk/efo/EFO_0001799,0.565417353501925,EFO
DRALANG,Language SP/Proxy used mostly,language impairment,http://www.ebi.ac.uk/efo/EFO_0005425,0.5029245113883516,EFO
DRD030,Coded meal name,gene name,http://www.ebi.ac.uk/efo/EFO_0002605,0.5549403427714557,EFO
DRD040,Meal Place,place of residence measurement,http://www.ebi.ac.uk/efo/EFO_0009583,0.5263574608457117,EFO
DRDCCMTY,Combination food type,recombination,http://www.ebi.ac.uk/efo/EFO_0004293,0.6570520043520374,EFO
DRDCFF,Combination food flag,recombination,http://www.ebi.ac.uk/efo/EFO_0004293,0.607262488774274,EFO
DRDDRSTS,Dietary recall status,diet,http://www.ebi.ac.uk/efo/EFO_0002755,0.5884829406078504,EFO
DRDISODF,Salt adjustment flag of individual food,individual,http://www.ebi.ac.uk/efo/EFO_0000542,0.6124663008909584,EFO
DRDISODI,Sodium (mg),sodium measurement,http://www.ebi.ac.uk/efo/EFO_0009282,0.7643554594775256,EFO
DRXIALCO,Alcohol (gm),response to alcohol,http://www.ebi.ac.uk/efo/EFO_0005526,0.6587398760111325,EFO
DRXICAFF,Caffeine (mg),caffeine measurement,http://www.ebi.ac.uk/efo/EFO_0021177,0.8004388184606168,EFO
DRXICALC,Calcium (mg),calcium measurement,http://www.ebi.ac.uk/efo/EFO_0004838,0.7631263015293179,EFO
