Source Term Id,Source Term,Mapped Term Label,Mapped Term IRI,Mapping Score,Ontology
DMAETHN,Logical Imputation Flag for Ethnicity,ethnic group,http://www.ebi.ac.uk/efo/EFO_0001799,0.5439104444405856,EFO
DMARACE,Logical Imputation Flag for Race Recode,Statistical Imputation,http://purl.obolibrary.org/obo/NCIT_C80304,0.5362909148148028,NCIT
DMDBORN,Country of Birth - Recode,Birth Country Code,http://purl.obolibrary.org/obo/NCIT_C93516,0.8750507828126521,NCIT
DMDBORN2,Country of Birth - Recode,Birth Country Code,http://purl.obolibrary.org/obo/NCIT_C93516,0.8750507828126521,NCIT
DMDCITZN,Citizenship Status,Citizen,http://purl.obolibrary.org/obo/NCIT_C90516,0.5984792158515911,NCIT
DMDEDUC,Education - Recode (old version),Education,http://purl.obolibrary.org/obo/NCIT_C16529,0.6504185713715395,NCIT
DMDEDUC2,Education Level - Adults 20+,Education Level,http://purl.obolibrary.org/obo/NCIT_C17953,0.7880887912722474,NCIT
DMDEDUC3,Education Level - Children/Youth 6-19,Education Level,http://purl.obolibrary.org/obo/NCIT_C17953,0.6758655130322555,NCIT
DMDHHSIZ,Total number of people in the Household,Number of Children in Household,http://purl.obolibrary.org/obo/NCIT_C19309,0.6397549207664116,NCIT
DMDHRAGE,Age,age,http://www.ebi.ac.uk/efo/EFO_0000246,0.9970638281565711,EFO
DIQ175C,Age,age,http://www.ebi.ac.uk/efo/EFO_0000246,0.9970638281565711,EFO
DMDHRBRN,Country of Birth,Country of birth (finding),http://snomed.info/id/370159000,0.8805360083243287,SNOMED
DMDHRBR2,Country of Birth,Country of birth (finding),http://snomed.info/id/370159000,0.8805360083243287,SNOMED
DMDHREDU,Education Level,Education Level,http://purl.obolibrary.org/obo/NCIT_C17953,0.99222744946911,NCIT
DMDHRGND,Gender,Gender,http://purl.obolibrary.org/obo/NCIT_C17357,0.9841711177220696,NCIT
RIAGENDR,Gender,Gender,http://purl.obolibrary.org/obo/NCIT_C17357,0.9841711177220696,NCIT
DMDHRMAR,Marital Status,Marital Status,http://purl.obolibrary.org/obo/NCIT_C25188,0.9927310604206919,NCIT
DMDMARTL,Marital Status,Marital Status,http://purl.obolibrary.org/obo/NCIT_C25188,0.9927310604206919,NCIT
DMDHSEDU,HH Ref Person's Spouse Education Level,Person Education Level Code,http://purl.obolibrary.org/obo/NCIT_C93986,0.7596751526699507,NCIT
DMDSCHOL,Now attending school,Attending school (finding),http://snomed.info/id/224305003,0.8487290813550489,SNOMED
DMDYRSUS,Length of time in US,Length,http://purl.obolibrary.org/obo/NCIT_C25334,0.7596774675761201,NCIT
DMQMILIT,Veteran/Military Status,Military Status,http://purl.obolibrary.org/obo/NCIT_C171085,0.7565555320902979,NCIT
INDFMINC,Annual Family Income,Annual,http://purl.obolibrary.org/obo/NCIT_C54647,0.653328899887882,NCIT
INDFMIN2,Annual Family Income,Annual,http://purl.obolibrary.org/obo/NCIT_C54647,0.653328899887882,NCIT
INDFMPIR,Family PIR,Family,http://purl.obolibrary.org/obo/NCIT_C45290,0.7412867267504031,NCIT
INDHHINC,Annual Household Income,Household Income,http://purl.obolibrary.org/obo/NCIT_C70811,0.783160543807524,NCIT
INDHHIN2,Annual Household Income,Household Income,http://purl.obolibrary.org/obo/NCIT_C70811,0.783160543807524,NCIT
RIDAGEEX,Exam Age in Months - Recode,Recode,http://purl.obolibrary.org/obo/NCIT_C141464,0.5288685123180074,NCIT
RIDAGEMN,Age in Months - Recode,Recode,http://purl.obolibrary.org/obo/NCIT_C141464,0.6116420205128317,NCIT
RIDAGEYR,Age at Screening Adjudicated - Recode,Adjudication,http://purl.obolibrary.org/obo/NCIT_C86039,0.5721960253160007,NCIT
RIDAGGRP,Age at Screening Adjudicated - Recode,Adjudication,http://purl.obolibrary.org/obo/NCIT_C86039,0.5721960253160007,NCIT
RIDEXMON,Six month time period,Six,http://purl.obolibrary.org/obo/NCIT_C66837,0.5944806952543783,NCIT
RIDEXPRG,Pregnancy Status at Exam - Recode,Pregnancy Status,http://purl.obolibrary.org/obo/NCIT_C69218,0.7592662024561134,NCIT
RIDPREG,Pregnancy Status - Recode (old version),Pregnancy Status,http://purl.obolibrary.org/obo/NCIT_C69218,0.6926777417381589,NCIT
RIDRETH1,Race/Ethnicity - Recode,ethnic group,http://www.ebi.ac.uk/efo/EFO_0001799,0.7617093593050921,EFO
RIDRETH2,Linked NH3 Race/Ethnicity - Recode,ethnic group,http://www.ebi.ac.uk/efo/EFO_0001799,0.565417353501925,EFO
RIDSTATR,Interview/Examination Status,Interview,http://purl.obolibrary.org/obo/NCIT_C16751,0.6179747215315519,NCIT
SDDSRVYR,Data Release Number,Data Release,http://purl.obolibrary.org/obo/NCIT_C172217,0.7445070134214571,NCIT
SDMVPSU,Masked Variance Pseudo-PSU,Pseudocode,http://purl.obolibrary.org/obo/NCIT_C47900,0.5072875189173892,NCIT
WTINT2YR,Full Sample 2 Year Interview Weight,Sample Weight,http://purl.obolibrary.org/obo/NCIT_C87555,0.5709458359016731,NCIT
WTINT4YR,Full Sample 4 Year Interview Weight,Sample Weight,http://purl.obolibrary.org/obo/NCIT_C87555,0.5681283422860882,NCIT
WTMEC2YR,Full Sample 2 Year MEC Exam Weight,Sample Weight,http://purl.obolibrary.org/obo/NCIT_C87555,0.5790371874977043,NCIT
WTMEC4YR,Full Sample 4 Year MEC Exam Weight,Sample Weight,http://purl.obolibrary.org/obo/NCIT_C87555,0.5760988208894413,NCIT
DRALANG,Language SP/Proxy used mostly,Language,http://purl.obolibrary.org/obo/NCIT_C16779,0.582179637375231,NCIT
DR1LANG,Language SP/Proxy used mostly,Language,http://purl.obolibrary.org/obo/NCIT_C16779,0.582179637375231,NCIT
DR2LANG,Language SP/Proxy used mostly,Language,http://purl.obolibrary.org/obo/NCIT_C16779,0.582179637375231,NCIT
DRD030,Coded meal name,Name Code,http://purl.obolibrary.org/obo/NCIT_C93600,0.7767871441074224,NCIT
DRD040,Meal Place,Place,http://purl.obolibrary.org/obo/NCIT_C25319,0.8306065016729433,NCIT
DRDCCMTY,Combination food type,Combination,http://purl.obolibrary.org/obo/NCIT_C61517,0.7747172986188082,NCIT
DRDCCMTZ,Combination food type,Combination,http://purl.obolibrary.org/obo/NCIT_C61517,0.7747172986188082,NCIT
DR2CCMTX,Combination food type,Combination,http://purl.obolibrary.org/obo/NCIT_C61517,0.7747172986188082,NCIT
DR1CCMTX,Combination food type,Combination,http://purl.obolibrary.org/obo/NCIT_C61517,0.7747172986188082,NCIT
DRDCFF,Combination food flag,Combination,http://purl.obolibrary.org/obo/NCIT_C61517,0.7160114446643967,NCIT
DRDDAY,Intake day of week,Day of the Week,http://purl.obolibrary.org/obo/NCIT_C77539,0.6939462896436642,NCIT
DR2DAY,Intake day of week,Day of the Week,http://purl.obolibrary.org/obo/NCIT_C77539,0.6939462896436642,NCIT
DR1DAY,Intake day of week,Day of the Week,http://purl.obolibrary.org/obo/NCIT_C77539,0.6939462896436642,NCIT
DRDDRSTS,Dietary recall status,diet,http://www.ebi.ac.uk/efo/EFO_0002755,0.5884829406078504,EFO
DRDDRSTZ,Dietary recall status,diet,http://www.ebi.ac.uk/efo/EFO_0002755,0.5884829406078504,EFO
DR1DRSTZ,Dietary recall status,diet,http://www.ebi.ac.uk/efo/EFO_0002755,0.5884829406078504,EFO
