Variable,Table,Source Term,Mapped Term Label,Mapped Term IRI,Mapping Score,Ontology
OHASCST3,OHXDEN_C,Dentition Status Code,status epilepticus,http://www.ebi.ac.uk/efo/EFO_0008526,0.41961834031861356,EFO
OHX01TC,OHXDEN_C,Tooth Count: #1,tooth disease,http://www.ebi.ac.uk/efo/EFO_1001216,0.5958965059568283,EFO
OHX02CSC,OHXDEN_C,Coronal Caries: Surface condition #2,disease,http://www.ebi.ac.uk/efo/EFO_0000408,0.5651928662086425,EFO
OHX02CTC,OHXDEN_C,Coronal Caries: Tooth count #2,dental caries,http://www.ebi.ac.uk/efo/EFO_0003819,0.4858392178305007,EFO
OHX02DI,OHXDEN_C,Fluorosis DI: #2,dental fluorosis,http://www.ebi.ac.uk/efo/EFO_1000892,0.8377892723650663,EFO
OHX02SE,OHXDEN_C,Dental Sealants: #2,tooth disease,http://www.ebi.ac.uk/efo/EFO_1001216,0.5426388211472993,EFO
OHX02TC,OHXDEN_C,Tooth Count: #2,tooth disease,http://www.ebi.ac.uk/efo/EFO_1001216,0.6017457572259781,EFO
OHX03CSC,OHXDEN_C,Coronal Caries: Surface condition #3,disease,http://www.ebi.ac.uk/efo/EFO_0000408,0.5617782438945647,EFO
OHX03CTC,OHXDEN_C,Coronal Caries: Tooth count #3,dental caries,http://www.ebi.ac.uk/efo/EFO_0003819,0.4818312594036622,EFO
OHX03DI,OHXDEN_C,Fluorosis DI: #3,dental fluorosis,http://www.ebi.ac.uk/efo/EFO_1000892,0.8276592343610758,EFO
OHX03SE,OHXDEN_C,Dental Sealants: #3,tooth disease,http://www.ebi.ac.uk/efo/EFO_1001216,0.5362761108034401,EFO
OHX03TC,OHXDEN_C,Tooth Count: #3,tooth disease,http://www.ebi.ac.uk/efo/EFO_1001216,0.5906071168171475,EFO
OHX04CSC,OHXDEN_C,Coronal Caries: Surface condition #4,disease,http://www.ebi.ac.uk/efo/EFO_0000408,0.5618011556822504,EFO
OHX04CTC,OHXDEN_C,Coronal Caries: Tooth count #4,dental caries,http://www.ebi.ac.uk/efo/EFO_0003819,0.4818580635604732,EFO
OHX04DI,OHXDEN_C,Fluorosis DI: #4,dental fluorosis,http://www.ebi.ac.uk/efo/EFO_1000892,0.8277265913478231,EFO
OHX04SE,OHXDEN_C,Dental Sealants: #4,tooth disease,http://www.ebi.ac.uk/efo/EFO_1001216,0.5363184412532305,EFO
OHX04TC,OHXDEN_C,Tooth Count: #4,tooth disease,http://www.ebi.ac.uk/efo/EFO_1001216,0.5906804660989123,EFO
OHX05CSC,OHXDEN_C,Coronal Caries: Surface condition #5,disease,http://www.ebi.ac.uk/efo/EFO_0000408,0.5620659253352985,EFO
