Variable,Table,Source Term,Mapped Term Label,Mapped Term IRI,Mapping Score,Ontology
OHAEXSTS,OHXPRL_C,Overall Oral Health Exam Status,Health Status,http://purl.obolibrary.org/obo/NCIT_C16669,0.6625863366435323,NCIT
OHAEXSTS,OHXPRL_C,Overall Oral Health Exam Status,Oral health education (procedure),http://snomed.info/id/243085009,0.4322781787973982,SNOMED
OHASCST4,OHXPRL_C,Periodontal Status Code,Periodontal Route of Administration,http://purl.obolibrary.org/obo/NCIT_C38294,0.7573982641649104,NCIT
OHASCST4,OHXPRL_C,Periodontal Status Code,periodontal measurement,http://www.ebi.ac.uk/efo/EFO_0007780,0.6563740671477135,EFO
OHASCST4,OHXPRL_C,Periodontal Status Code,Periodontal operation (procedure),http://snomed.info/id/234677007,0.587024534698186,SNOMED
OHASCST4,OHXPRL_C,Periodontal Status Code,periodontist,http://purl.obolibrary.org/obo/OHD_0000187,0.585639445007641,OHD
OHD18CJD,OHXPRL_C,LOA: distal #18 FGM/CEJ,Distal,http://purl.obolibrary.org/obo/NCIT_C25237,0.5735268452349124,NCIT
OHD18CJD,OHXPRL_C,LOA: distal #18 FGM/CEJ,distal,http://www.ebi.ac.uk/efo/EFO_0001655,0.5603185132352209,EFO
OHD18CJM,OHXPRL_C,LOA: mid-facial #18 FGM/CEJ,Facial,http://purl.obolibrary.org/obo/NCIT_C161327,0.5481644264281705,NCIT
OHD18CJM,OHXPRL_C,LOA: mid-facial #18 FGM/CEJ,facial pain,http://www.ebi.ac.uk/efo/EFO_0009625,0.4131664360697434,EFO
OHD18CJM,OHXPRL_C,LOA: mid-facial #18 FGM/CEJ,Facial branch of facial artery (body structure),http://snomed.info/id/314308004,0.4091807646025562,SNOMED
OHD18CJS,OHXPRL_C,LOA: mesial #18 FGM/CEJ,Mesial Surface,http://purl.obolibrary.org/obo/NCIT_C52590,0.596312002516828,NCIT
OHD18LAD,OHXPRL_C,LOA: distal #18 calculated LA,Calculation,http://purl.obolibrary.org/obo/NCIT_C54125,0.5998608248709677,NCIT
OHD18LAD,OHXPRL_C,LOA: distal #18 calculated LA,distal,http://www.ebi.ac.uk/efo/EFO_0001655,0.4954652230564846,EFO
OHD18LAD,OHXPRL_C,LOA: distal #18 calculated LA,Calculated (qualifier value),http://snomed.info/id/258090004,0.4062133296046831,SNOMED
OHD18LAM,OHXPRL_C,LOA: mid-facial #18 calculated LA,Calculation,http://purl.obolibrary.org/obo/NCIT_C54125,0.5545800616197373,NCIT
OHD18LAS,OHXPRL_C,LOA: mesial #18 calculated LA,Calculation,http://purl.obolibrary.org/obo/NCIT_C54125,0.5913430048689112,NCIT
OHD18LAS,OHXPRL_C,LOA: mesial #18 calculated LA,Calculated (qualifier value),http://snomed.info/id/258090004,0.4004452382732429,SNOMED
OHD18PCD,OHXPRL_C,LOA: distal #18 PD,Distal,http://purl.obolibrary.org/obo/NCIT_C25237,0.6235516973261808,NCIT
OHD18PCD,OHXPRL_C,LOA: distal #18 PD,distal,http://www.ebi.ac.uk/efo/EFO_0001655,0.6091912922192813,EFO
OHD18PCM,OHXPRL_C,LOA: mid-facial #18 PD,Facial,http://purl.obolibrary.org/obo/NCIT_C161327,0.5865202782016228,NCIT
OHD18PCM,OHXPRL_C,LOA: mid-facial #18 PD,facial pain,http://www.ebi.ac.uk/efo/EFO_0009625,0.4420762846765159,EFO
OHD18PCM,OHXPRL_C,LOA: mid-facial #18 PD,Facial branch of facial artery (body structure),http://snomed.info/id/314308004,0.4378117300555837,SNOMED
OHD18PCS,OHXPRL_C,LOA: mesial #18 PD,Mesial Surface,http://purl.obolibrary.org/obo/NCIT_C52590,0.6462228790292726,NCIT
OHD19CJD,OHXPRL_C,LOA: distal #19 FGM/CEJ,Distal,http://purl.obolibrary.org/obo/NCIT_C25237,0.5602079512157674,NCIT
OHD19CJD,OHXPRL_C,LOA: distal #19 FGM/CEJ,distal,http://www.ebi.ac.uk/efo/EFO_0001655,0.5473063535486274,EFO
OHD19CJM,OHXPRL_C,LOA: mid-facial #19 FGM/CEJ,Facial,http://purl.obolibrary.org/obo/NCIT_C161327,0.5376425551213571,NCIT
OHD19CJM,OHXPRL_C,LOA: mid-facial #19 FGM/CEJ,facial pain,http://www.ebi.ac.uk/efo/EFO_0009625,0.4052358155131572,EFO
OHD19CJM,OHXPRL_C,LOA: mid-facial #19 FGM/CEJ,Facial branch of facial artery (body structure),http://snomed.info/id/314308004,0.4013266479565252,SNOMED
OHD19CJS,OHXPRL_C,LOA: mesial #19 FGM/CEJ,Mesial Surface,http://purl.obolibrary.org/obo/NCIT_C52590,0.5829429359725091,NCIT
OHD19LAD,OHXPRL_C,LOA: distal #19 calculated LA,Calculation,http://purl.obolibrary.org/obo/NCIT_C54125,0.5888856803981686,NCIT
OHD19LAD,OHXPRL_C,LOA: distal #19 calculated LA,distal,http://www.ebi.ac.uk/efo/EFO_0001655,0.486400116320331,EFO
OHD19LAM,OHXPRL_C,LOA: mid-facial #19 calculated LA,Calculation,http://purl.obolibrary.org/obo/NCIT_C54125,0.5458729001421558,NCIT
OHD19LAS,OHXPRL_C,LOA: mesial #19 calculated LA,Calculation,http://purl.obolibrary.org/obo/NCIT_C54125,0.5808206891651954,NCIT
OHD19PCD,OHXPRL_C,LOA: distal #19 PD,Distal,http://purl.obolibrary.org/obo/NCIT_C25237,0.6065417929162711,NCIT
OHD19PCD,OHXPRL_C,LOA: distal #19 PD,distal,http://www.ebi.ac.uk/efo/EFO_0001655,0.5925731261675597,EFO
OHD19PCM,OHXPRL_C,LOA: mid-facial #19 PD,Facial,http://purl.obolibrary.org/obo/NCIT_C161327,0.5736847262074908,NCIT
OHD19PCM,OHXPRL_C,LOA: mid-facial #19 PD,facial pain,http://www.ebi.ac.uk/efo/EFO_0009625,0.4324017800630752,EFO
OHD19PCM,OHXPRL_C,LOA: mid-facial #19 PD,Facial branch of facial artery (body structure),http://snomed.info/id/314308004,0.4282305519895841,SNOMED
OHD19PCS,OHXPRL_C,LOA: mesial #19 PD,Mesial Surface,http://purl.obolibrary.org/obo/NCIT_C52590,0.6293064692953482,NCIT
