Variable,Table,Source Term,Mapped Term Label,Mapped Term IRI,Mapping Score,Ontology
OHAEXSTS,OHXPRU_C,Overall Oral Health Exam Status,Health Status,http://purl.obolibrary.org/obo/NCIT_C16669,0.6625863366435323,NCIT
OHAEXSTS,OHXPRU_C,Overall Oral Health Exam Status,Oral health education (procedure),http://snomed.info/id/243085009,0.4322781787973982,SNOMED
OHASCST4,OHXPRU_C,Periodontal Status Code,Periodontal Route of Administration,http://purl.obolibrary.org/obo/NCIT_C38294,0.7573982641649104,NCIT
OHASCST4,OHXPRU_C,Periodontal Status Code,periodontal measurement,http://www.ebi.ac.uk/efo/EFO_0007780,0.6563740671477135,EFO
OHASCST4,OHXPRU_C,Periodontal Status Code,Periodontal operation (procedure),http://snomed.info/id/234677007,0.587024534698186,SNOMED
OHD02CJD,OHXPRU_C,LOA: distal #2 FGM/CEJ,Distal,http://purl.obolibrary.org/obo/NCIT_C25237,0.610338940713454,NCIT
OHD02CJD,OHXPRU_C,LOA: distal #2 FGM/CEJ,distal,http://www.ebi.ac.uk/efo/EFO_0001655,0.5962828255930162,EFO
OHD02CJM,OHXPRU_C,LOA: mid-facial #2 FGM/CEJ,Facial,http://purl.obolibrary.org/obo/NCIT_C161327,0.5765684912307639,NCIT
OHD02CJM,OHXPRU_C,LOA: mid-facial #2 FGM/CEJ,facial pain,http://www.ebi.ac.uk/efo/EFO_0009625,0.4345753521879429,EFO
OHD02CJM,OHXPRU_C,LOA: mid-facial #2 FGM/CEJ,Facial branch of facial artery (body structure),http://snomed.info/id/314308004,0.4303831564277193,SNOMED
OHD02CJS,OHXPRU_C,LOA: mesial #2 FGM/CEJ,Mesial Surface,http://purl.obolibrary.org/obo/NCIT_C52590,0.6330877165464108,NCIT
OHD02LAD,OHXPRU_C,LOA: distal #2 calculated LA,Calculation,http://purl.obolibrary.org/obo/NCIT_C54125,0.6293356050419395,NCIT
OHD02LAD,OHXPRU_C,LOA: distal #2 calculated LA,distal,http://www.ebi.ac.uk/efo/EFO_0001655,0.5198104176857434,EFO
OHD02LAD,OHXPRU_C,LOA: distal #2 calculated LA,Calculated (qualifier value),http://snomed.info/id/258090004,0.4261730404179236,SNOMED
OHD02LAM,OHXPRU_C,LOA: mid-facial #2 calculated LA,Calculation,http://purl.obolibrary.org/obo/NCIT_C54125,0.5776208301960635,NCIT
OHD02LAS,OHXPRU_C,LOA: mesial #2 calculated LA,Calculation,http://purl.obolibrary.org/obo/NCIT_C54125,0.6195204287582157,NCIT
OHD02LAS,OHXPRU_C,LOA: mesial #2 calculated LA,Calculated (qualifier value),http://snomed.info/id/258090004,0.4195264062762025,SNOMED
OHD02PCD,OHXPRU_C,LOA: distal #2 PD,Distal Resection Margin,http://purl.obolibrary.org/obo/NCIT_C138061,0.6717252891266436,NCIT
OHD02PCD,OHXPRU_C,LOA: distal #2 PD,distal,http://www.ebi.ac.uk/efo/EFO_0001655,0.65625544546529,EFO
OHD02PCD,OHXPRU_C,LOA: distal #2 PD,PD 20 (finding),http://snomed.info/id/252104005,0.4049009778083632,SNOMED
OHD02PCM,OHXPRU_C,LOA: mid-facial #2 PD,Face,http://purl.obolibrary.org/obo/NCIT_C13071,0.621717309421457,NCIT
OHD02PCM,OHXPRU_C,LOA: mid-facial #2 PD,facial pain,http://www.ebi.ac.uk/efo/EFO_0009625,0.4686052443247939,EFO
OHD02PCM,OHXPRU_C,LOA: mid-facial #2 PD,Facial branch of facial artery (body structure),http://snomed.info/id/314308004,0.4640847741495148,SNOMED
OHD02PCS,OHXPRU_C,LOA: mesial #2 PD,Mesial Surface,http://purl.obolibrary.org/obo/NCIT_C52590,0.6938124678211284,NCIT
OHD03CJD,OHXPRU_C,LOA: distal #3 FGM/CEJ,Distal,http://purl.obolibrary.org/obo/NCIT_C25237,0.6027706237869445,NCIT
