Variable,Table,Source Term,Mapped Term Label,Mapped Term IRI,Mapping Score,Ontology
OHARNF,OHXREF_C,No significant needs,hidradenitis suppurativa,http://www.ebi.ac.uk/efo/EFO_1000710,0.4097555626582009,EFO
OHAROCCI,OHXREF_C,Assessment of soft tissue lesion,Soft Tissue Neoplasm,http://www.ebi.ac.uk/efo/EFO_1000541,0.5854530461057806,EFO
OHAROCDE,OHXREF_C,Denture/Partial Denture/plates,dentures,http://www.ebi.ac.uk/efo/EFO_0010078,0.7328816083970875,EFO
OHAROCGP,OHXREF_C,Periodontal needs,periodontal measurement,http://www.ebi.ac.uk/efo/EFO_0007780,0.664158937249414,EFO
OHAROCOH,OHXREF_C,Gingival / OHI needs,gingival disease,http://www.ebi.ac.uk/efo/EFO_0009670,0.5564346176529886,EFO
OHAROTH,OHXREF_C,Some other finding,sign or symptom,http://www.ebi.ac.uk/efo/EFO_0003765,0.7651473530437453,EFO
OHASCST5,OHXREF_C,Referral Status Code,status epilepticus,http://www.ebi.ac.uk/efo/EFO_0008526,0.42221879833271436,EFO
OHQ011,OHXREF_C,Describe the cond. of your mouth/teeth,tooth disease,http://www.ebi.ac.uk/efo/EFO_1001216,0.43620275574292994,EFO
OHQ132,OHXREF_C,a heart problem,vertebral joint disease,http://www.ebi.ac.uk/efo/EFO_0009477,0.6138994861577197,EFO
OHQ134,OHXREF_C,congenital heart murmurs,congenital heart disease,http://www.ebi.ac.uk/efo/EFO_0005207,0.5764270268731068,EFO
OHQ136,OHXREF_C,heart valve problem,heart valve disease,http://www.ebi.ac.uk/efo/EFO_0009551,0.7063819515384455,EFO
OHQ138,OHXREF_C,congenital heart disease,congenital heart disease,http://www.ebi.ac.uk/efo/EFO_0005207,0.9680412877501877,EFO
OHQ140,OHXREF_C,bacterial endocarditis,bacterial endocarditis,http://www.ebi.ac.uk/efo/EFO_1000830,0.9837715299826122,EFO
OHQ142,OHXREF_C,rheumatic fever,rheumatic fever,http://www.ebi.ac.uk/efo/EFO_1001160,0.9847148364978364,EFO
OHQ144,OHXREF_C,kidney disease w/ renal dialysis,renal dialysis,http://www.ebi.ac.uk/efo/EFO_0010690,0.8207829579503546,EFO
OHQ146,OHXREF_C,other artificial material,renal dialysis,http://www.ebi.ac.uk/efo/EFO_0010690,0.5471325958882045,EFO
OHQ148,OHXREF_C,a hip bone or joint replacement,total joint arthroplasty,http://www.ebi.ac.uk/efo/EFO_0010726,0.7985613859290823,EFO
OHQ420,OHXREF_C,Wears complete/partial max denture,complex partial epilepsy,http://www.ebi.ac.uk/efo/EFO_1000877,0.419774617068211,EFO
OHQ440,OHXREF_C,Wears complete/partial Mand. denture,complex partial epilepsy,http://www.ebi.ac.uk/efo/EFO_1000877,0.40943756345201465,EFO
OHQ490a,OHXREF_C,Toothache,toothache,http://www.ebi.ac.uk/efo/EFO_0010072,0.9782006680560708,EFO
OHQ490b,OHXREF_C,Sensitivity,hypersensitivity reaction disease,http://www.ebi.ac.uk/efo/EFO_1002003,0.9928375829272416,EFO
OHQ490c,OHXREF_C,Cavities/Caries,dental caries,http://www.ebi.ac.uk/efo/EFO_0003819,0.7048421095439964,EFO
OHQ490e,OHXREF_C,Broken / fractured teeth,bone fracture,http://www.ebi.ac.uk/efo/EFO_0003931,0.5080194022313329,EFO
OHQ490f,OHXREF_C,Staining/discoloration of teeth,tooth disease,http://www.ebi.ac.uk/efo/EFO_1001216,0.4634817273515656,EFO
OHQ490g,OHXREF_C,Crooked teeth or need braces,braces,http://www.ebi.ac.uk/efo/EFO_0004291,0.48170314867761244,EFO
OHQ490h,OHXREF_C,Teeth needing extractions,organ extraction,http://www.ebi.ac.uk/efo/EFO_0009124,0.4555607841476102,EFO
OHQ490i,OHXREF_C,Missing teeth,tooth disease,http://www.ebi.ac.uk/efo/EFO_1001216,0.5378070418347274,EFO
OHQ490j,OHXREF_C,Denture problems,dentures,http://www.ebi.ac.uk/efo/EFO_0010078,0.5728572180113797,EFO
OHQ490k,OHXREF_C,Periodontal problems,periodontal measurement,http://www.ebi.ac.uk/efo/EFO_0007780,0.6587086863387306,EFO
OHQ490l,OHXREF_C,Unsatisfactory prior dental experience,experimental factor,http://www.ebi.ac.uk/efo/EFO_0000001,0.5178591789476955,EFO
OHQ490m,OHXREF_C,None/no specific problem,bacterial vaginosis,http://www.ebi.ac.uk/efo/EFO_0003932,0.507014170273729,EFO
OHAEXSTS,OHXREF_C,Overall Oral Health Exam Status,Health Status,http://purl.obolibrary.org/obo/NCIT_C16669,0.6625863366435323,NCIT
OHAPOS,OHXREF_C,Was participant exam position recumbent,Recumbent Position,http://purl.obolibrary.org/obo/NCIT_C77532,0.6660186732998112,NCIT
OHARCMT,OHXREF_C,Other Referral Comments,Referral,http://purl.obolibrary.org/obo/NCIT_C52582,0.7374809778040029,NCIT
OHAREC,OHXREF_C,Overall recommendation for care,Recommendation,http://purl.obolibrary.org/obo/NCIT_C25197,0.7458781386853685,NCIT
OHARNF,OHXREF_C,No significant needs,Statistical Significance,http://purl.obolibrary.org/obo/NCIT_C61040,0.7886636705067758,NCIT
OHAROCCI,OHXREF_C,Assessment of soft tissue lesion,Assessment,http://purl.obolibrary.org/obo/NCIT_C25217,0.6413319676902327,NCIT
OHAROCDE,OHXREF_C,Denture/Partial Denture/plates,Denture,http://purl.obolibrary.org/obo/NCIT_C63720,0.8294763560989031,NCIT
OHAROCDT,OHXREF_C,Untreated Caries / Restorative needs,Need,http://purl.obolibrary.org/obo/NCIT_C41204,0.5175782655331321,NCIT
OHAROCGP,OHXREF_C,Periodontal needs,Periodontal Route of Administration,http://purl.obolibrary.org/obo/NCIT_C38294,0.7663813233637594,NCIT
OHAROCOH,OHXREF_C,Gingival / OHI needs,Gingiva,http://purl.obolibrary.org/obo/NCIT_C32677,0.6291954551397896,NCIT
OHAROTH,OHXREF_C,Some other finding,Finding,http://purl.obolibrary.org/obo/NCIT_C3367,0.7627421518238365,NCIT
OHASCST5,OHXREF_C,Referral Status Code,Referral,http://purl.obolibrary.org/obo/NCIT_C52582,0.6973389558789439,NCIT
OHQ011,OHXREF_C,Describe the cond. of your mouth/teeth,None of These Describe Me,http://purl.obolibrary.org/obo/NCIT_C177109,0.47276340170895,NCIT
OHQ131,OHXREF_C,Must always take antibiotics,Antibiotic,http://purl.obolibrary.org/obo/NCIT_C258,0.73304671651428,NCIT
OHQ132,OHXREF_C,a heart problem,Problem,http://purl.obolibrary.org/obo/NCIT_C28020,0.7626579460900222,NCIT
OHQ134,OHXREF_C,congenital heart murmurs,Heart Murmur,http://purl.obolibrary.org/obo/NCIT_C84480,0.7694159305541954,NCIT
OHQ136,OHXREF_C,heart valve problem,Heart Valve Cage Device,http://purl.obolibrary.org/obo/NCIT_C49983,0.6770195159937576,NCIT
OHQ138,OHXREF_C,congenital heart disease,Congenital Heart Disease,http://purl.obolibrary.org/obo/NCIT_C95834,0.9848300262202866,NCIT
OHQ140,OHXREF_C,bacterial endocarditis,Bacterial Endocarditis,http://purl.obolibrary.org/obo/NCIT_C128359,0.9872359402556773,NCIT
OHQ142,OHXREF_C,rheumatic fever,Rheumatic Fever,http://purl.obolibrary.org/obo/NCIT_C34984,0.9890656465400243,NCIT
OHQ144,OHXREF_C,kidney disease w/ renal dialysis,Hemodialysis,http://purl.obolibrary.org/obo/NCIT_C15248,0.8226796691296383,NCIT
OHQ146,OHXREF_C,other artificial material,Artificial,http://purl.obolibrary.org/obo/NCIT_C61464,0.8223983635491323,NCIT
OHQ148,OHXREF_C,a hip bone or joint replacement,Joint Replacement,http://purl.obolibrary.org/obo/NCIT_C131579,0.8045950875550717,NCIT
OHQ410,OHXREF_C,Removable complete/partial max denture,Removable,http://purl.obolibrary.org/obo/NCIT_C64250,0.5764895885220142,NCIT
OHQ420,OHXREF_C,Wears complete/partial max denture,Partial or Complete Response,http://purl.obolibrary.org/obo/NCIT_C182257,0.5498306981135258,NCIT
OHQ430,OHXREF_C,Removable complete/partial mand. denture,Removable,http://purl.obolibrary.org/obo/NCIT_C64250,0.5651653596074527,NCIT
OHQ440,OHXREF_C,Wears complete/partial Mand. denture,Partial or Complete Response,http://purl.obolibrary.org/obo/NCIT_C182257,0.5362909813819002,NCIT
OHQ490a,OHXREF_C,Toothache,Toothache,http://purl.obolibrary.org/obo/NCIT_C78640,0.977450687692594,NCIT
OHQ490b,OHXREF_C,Sensitivity,Sensitivity,http://purl.obolibrary.org/obo/NCIT_C25201,0.9947727291163394,NCIT
OHQ490c,OHXREF_C,Cavities/Caries,Caries,http://purl.obolibrary.org/obo/NCIT_C52593,0.8976122777053481,NCIT
OHQ490d,OHXREF_C,Broken/missing fillings or restorations,Missing Study Animal,http://purl.obolibrary.org/obo/NCIT_C96372,0.4987245331009525,NCIT
OHQ490e,OHXREF_C,Broken / fractured teeth,Tooth,http://purl.obolibrary.org/obo/NCIT_C12506,0.5283738921508108,NCIT
OHQ490f,OHXREF_C,Staining/discoloration of teeth,Discoloration,http://purl.obolibrary.org/obo/NCIT_C124525,0.7036691580181925,NCIT
OHQ490g,OHXREF_C,Crooked teeth or need braces,Orthodontic Braces,http://purl.obolibrary.org/obo/NCIT_C94550,0.48278143190837813,NCIT
