NHANES Variable ID,NHANES Variable Label,Mapped Ontology Term Label,Mapped Ontology Term IRI,Mapping Score,Ontology
DBD270e,Helping of breads/grain foods eaten/day,whole grain bread,http://purl.obolibrary.org/obo/FOODON_00003923,0.439086928,FOODON
LBCBR11L,PBDE 209 lipid adj (ng/g),Lipid,http://purl.obolibrary.org/obo/NCIT_C616,0.439069505,NCIT
URDDHDLC,Desethyl hydroxy DEET Comment Code,atrazine-desethyl-2-hydroxy,http://purl.obolibrary.org/obo/CHEBI_83463,0.439004414,CHEBI
BIXS177K,Resistance (Ohms) @ 177 KHz,insulin resistance,http://www.ebi.ac.uk/efo/EFO_0002614,0.438866025,EFO
LBXF01LA,2378-tcdf Lipid Adj (pg/g),Lipid,http://purl.obolibrary.org/obo/NCIT_C616,0.43869899,NCIT
LBC123,PCB 123 (ng/g),BQ 123,http://purl.obolibrary.org/obo/CHEBI_2965,0.438540567,CHEBI
LBCBR66L,23'44'-tetrabromodiphyl lpd adj(ng/g),"2,2',4,4'-Tetrabromodiphenyl ether",http://purl.obolibrary.org/obo/CHEBI_81584,0.43841339,CHEBI
DIQ275,Past year Dr checked for A1C,Past Year,http://purl.obolibrary.org/obo/NCIT_C125217,0.43838264,NCIT
CIQPPA,Did you tell other prof about attack?,How Often Did You Think About,http://purl.obolibrary.org/obo/NCIT_C154239,0.43837044,NCIT
DX2HELI,Head Lean incl BMC (g),Lead,http://purl.obolibrary.org/obo/NCIT_C25552,0.438290623,NCIT
DXXHELI,Head Lean incl BMC (g),Lead,http://purl.obolibrary.org/obo/NCIT_C25552,0.438290623,NCIT
FSD032B,HH Food didn't last,Food,http://purl.obolibrary.org/obo/NCIT_C62695,0.438079062,NCIT
WHQ510F,Think boys will like me better,Like,http://purl.obolibrary.org/obo/NCIT_C77969,0.438034928,NCIT
URD2DCLC,N-acel-S-(22-Dichlorvinyl)-L-cys comt,Vinyl Chloride,http://purl.obolibrary.org/obo/NCIT_C936,0.43800487,NCIT
URD2DCLC,N-Acel-S-(22-Dichlorvinyl)-L-Cys comt,Vinyl Chloride,http://purl.obolibrary.org/obo/NCIT_C936,0.43800487,NCIT
URD2DCLC,N-acel-S-(22-dichlorvinyl)-L-cys comt,Vinyl Chloride,http://purl.obolibrary.org/obo/NCIT_C936,0.43800487,NCIT
BIXS143K,Resistance (Ohms) @ 143 KHz,insulin resistance,http://www.ebi.ac.uk/efo/EFO_0002614,0.437706475,EFO
DID270,Past year times checked for A1C,Past Year,http://purl.obolibrary.org/obo/NCIT_C125217,0.437607577,NCIT
DIQ300S,What was your recent SBP,Recent,http://purl.obolibrary.org/obo/NCIT_C25280,0.437461347,NCIT
OHD22CJS,LOA: mesial #22 FGM/CEJ,mesial region,http://purl.obolibrary.org/obo/UBERON_4300140,0.437437741,UBERON
FFQ0025B,Q.25B Did you eat oranges rest of year?,Orange,http://purl.obolibrary.org/obo/NCIT_C65208,0.436979762,NCIT
LBAVOCSD,VOC badge sample duration-minutes,Badger (organism),http://snomed.info/id/43546007,0.436918897,SNOMED
SMQ862,Last 7-d at rest someone smoked indoors?,Someone There,http://purl.obolibrary.org/obo/NCIT_C172728,0.436902351,NCIT
BIXS159K,Resistance (Ohms) @ 159 KHz,insulin resistance,http://www.ebi.ac.uk/efo/EFO_0002614,0.436788648,EFO
CBD150,Time to get to grocery store,To,http://purl.obolibrary.org/obo/NCIT_C65107,0.436419442,NCIT
ENQ080,Ate NO-rich rich meats 3 hours?,"Rich County, UT",http://purl.obolibrary.org/obo/NCIT_C110481,0.436419343,NCIT
OHD18CJS,LOA: mesial #18 FGM/CEJ,mesial region,http://purl.obolibrary.org/obo/UBERON_4300140,0.436330522,UBERON
CIQD058,How long period before it ended?,Period,http://purl.obolibrary.org/obo/NCIT_C25616,0.436235453,NCIT
FSD200,Currently authorized for fd stmps,Authorization,http://purl.obolibrary.org/obo/NCIT_C41192,0.436151445,NCIT
WHD150,Age when heaviest weight,Weight,http://purl.obolibrary.org/obo/NCIT_C25208,0.436134221,NCIT
WHQ150,Age when heaviest weight,Weight,http://purl.obolibrary.org/obo/NCIT_C25208,0.436134221,NCIT
OSQ040bd,Under/over 50 when fracd. wrist 4th time,wrist fracture,http://www.ebi.ac.uk/efo/EFO_0009515,0.436088401,EFO
WHD160,Least self-reported weight since 18(lbs),Reporter,http://purl.obolibrary.org/obo/NCIT_C41191,0.436051714,NCIT
WTSPP30,PPesticides Mec Weight Jack Knife Rep 30,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.43590495,NCIT
PAXVMD,Day count: mins valid data no QC flag,Flag,http://purl.obolibrary.org/obo/NCIT_C43578,0.435805359,NCIT
WHQ030E,How do you consider your child's weight,Younger child (person),http://snomed.info/id/74489007,0.435771553,SNOMED
PSQ130A,High PSA could mean: Inflamed prostate,Shoulder joint inflamed (finding),http://snomed.info/id/298162008,0.435459695,SNOMED
VTQ200A,Store paints or fuels inside home?,fuel,http://purl.obolibrary.org/obo/CHEBI_33292,0.435375174,CHEBI
WHD140,Self-reported greatest weight (pounds),Reported Date,http://purl.obolibrary.org/obo/NCIT_C93652,0.435262156,NCIT
WHD140,Self-reported greatest weight(pounds),Reported Date,http://purl.obolibrary.org/obo/NCIT_C93652,0.435262156,NCIT
LBXS18MK,HPV 18 (Merck competitive Luminex assay),Assay,http://purl.obolibrary.org/obo/NCIT_C60819,0.435169448,NCIT
WTSPP12,PPesticides Mec Weight Jack Knife Rep 12,Pesticide,http://purl.obolibrary.org/obo/NCIT_C737,0.435008688,NCIT
OHD10CJS,LOA: mesial #10 FGM/CEJ,mesial region,http://purl.obolibrary.org/obo/UBERON_4300140,0.434889392,UBERON
SSMFOSL,Monomethyl branched isomers-PFOS Cmt cd,Isomer,http://purl.obolibrary.org/obo/NCIT_C94419,0.434665138,NCIT
OHQ760,How long since had teeth cleaned,Able to clean own teeth (finding),http://snomed.info/id/284840001,0.434486919,SNOMED
URDTCCLC,trans dichlorovnl-dimeth carboacid code,dichloroacetic acid,http://purl.obolibrary.org/obo/CHEBI_36386,0.434455259,CHEBI
VTQ240B,How long ago did you pump gas?,Pump Device,http://purl.obolibrary.org/obo/NCIT_C50128,0.434222127,NCIT
