Term ID,Term Label,Parent ID,Parent Label
http://purl.obolibrary.org/obo/UBERON_0000045,ganglion,http://purl.obolibrary.org/obo/CARO_0000000,anatomical entity
http://purl.obolibrary.org/obo/ECTO_9001373,exposure to guanethidine,http://purl.obolibrary.org/obo/ECTO_9000190,exposure to organonitrogen compound
http://purl.obolibrary.org/obo/CHEBI_37494,alkenyl phosphate,http://purl.obolibrary.org/obo/CHEBI_37734,phosphoric ester
http://purl.obolibrary.org/obo/ECTO_9001284,exposure to trichlorfon,http://purl.obolibrary.org/obo/ECTO_0000371,exposure to oxygen molecular entity
http://purl.obolibrary.org/obo/PATO_0000411,circular,http://purl.obolibrary.org/obo/PATO_0000947,elliptic
http://purl.obolibrary.org/obo/ENVO_01001785,land,http://purl.obolibrary.org/obo/ENVO_01001483,surface of an astronomical body
http://purl.obolibrary.org/obo/UBERON_0000481,multi-tissue structure,http://purl.obolibrary.org/obo/UBERON_0010000,multicellular anatomical structure
http://purl.obolibrary.org/obo/CDNO_0201005,concentration of geraniol in material entity,http://purl.obolibrary.org/obo/CDNO_0200406,concentration of terpenoid in material entity
http://purl.obolibrary.org/obo/ECTO_9000903,exposure to valsartan,http://purl.obolibrary.org/obo/ECTO_9000056,exposure to biphenyls
http://purl.obolibrary.org/obo/CHEBI_38845,profenofos,http://purl.obolibrary.org/obo/CHEBI_25708,organophosphate insecticide
http://purl.obolibrary.org/obo/UBERON_0009652,bronchus basement membrane,http://purl.obolibrary.org/obo/UBERON_0015329,respiratory system basement membrane
http://purl.obolibrary.org/obo/CHEBI_31835,methylparaben,http://purl.obolibrary.org/obo/CHEBI_85122,paraben
http://purl.obolibrary.org/obo/GO_0150111,regulation of transepithelial transport,http://purl.obolibrary.org/obo/GO_0051049,regulation of transport
http://purl.obolibrary.org/obo/ECTO_9001183,exposure to nitrilotriacetic acid,http://purl.obolibrary.org/obo/ECTO_0000371,exposure to oxygen molecular entity
http://purl.obolibrary.org/obo/CHEBI_37734,phosphoric ester,http://purl.obolibrary.org/obo/CHEBI_26079,phosphoric acid derivative
http://purl.obolibrary.org/obo/UBERON_0014706,primitive renal collecting duct system,http://purl.obolibrary.org/obo/UBERON_0007501,arborizing epithelial duct system
http://purl.obolibrary.org/obo/GO_1905305,negative regulation of cardiac myofibril assembly,http://purl.obolibrary.org/obo/GO_1905304,regulation of cardiac myofibril assembly
http://purl.obolibrary.org/obo/CHEBI_82814,"5-[2-(dimethylamino)ethyl]-2-(4-methoxyphenyl)-4-oxo-2,3,4,5-tetrahydro-1,5-benzothiazepin-3-yl acetate",http://purl.obolibrary.org/obo/CHEBI_24995,lactam
http://purl.obolibrary.org/obo/ENVO_00000011,garden,http://purl.obolibrary.org/obo/ENVO_00000002,anthropogenic geographic feature
http://purl.obolibrary.org/obo/CHEBI_25434,bis(2-chloroethyl) sulfide,http://purl.obolibrary.org/obo/CHEBI_23996,ethyl sulfide
http://purl.obolibrary.org/obo/CHEBI_35238,amino acid zwitterion,http://purl.obolibrary.org/obo/CHEBI_27369,zwitterion
http://purl.obolibrary.org/obo/ECTO_9002122,exposure to antifouling biocide,http://purl.obolibrary.org/obo/ECTO_0000530,exposure to pesticide
http://purl.obolibrary.org/obo/CL_1001568,pulmonary artery endothelial cell,http://purl.obolibrary.org/obo/CL_1000413,endothelial cell of artery
http://purl.obolibrary.org/obo/ECTO_9000940,exposure to barium,http://purl.obolibrary.org/obo/ECTO_0000231,exposure to chemical
http://purl.obolibrary.org/obo/GO_0051234,establishment of localization,http://purl.obolibrary.org/obo/GO_0051179,localization
http://purl.obolibrary.org/obo/CHEBI_37793,amino sulfonic acid,http://purl.obolibrary.org/obo/CHEBI_33551,organosulfonic acid
http://purl.obolibrary.org/obo/CHEBI_27177,L-tyrosine derivative,http://purl.obolibrary.org/obo/CHEBI_84144,L-phenylalanine derivative
http://purl.obolibrary.org/obo/GO_0090316,positive regulation of intracellular protein transport,http://purl.obolibrary.org/obo/GO_0033157,regulation of intracellular protein transport
http://purl.obolibrary.org/obo/GO_0046676,negative regulation of insulin secretion,http://purl.obolibrary.org/obo/GO_0050709,negative regulation of protein secretion
http://purl.obolibrary.org/obo/GO_0090174,organelle membrane fusion,http://purl.obolibrary.org/obo/GO_0048284,organelle fusion
http://purl.obolibrary.org/obo/CHEBI_38176,"1,3,5-triazinylamino nitrile",http://purl.obolibrary.org/obo/CHEBI_38170,"diamino-1,3,5-triazine"
http://purl.obolibrary.org/obo/CL_0009063,enteroendocrine cell of anorectum,http://purl.obolibrary.org/obo/CL_1001516,intestinal enteroendocrine cell
http://purl.obolibrary.org/obo/CHEBI_115196,2-hydroxybenzothiazole,http://purl.obolibrary.org/obo/CHEBI_45993,benzothiazole
http://purl.obolibrary.org/obo/CHEBI_24031,ferulic acids,http://purl.obolibrary.org/obo/CHEBI_35618,aromatic ether
http://purl.obolibrary.org/obo/GO_0010720,positive regulation of cell development,http://purl.obolibrary.org/obo/GO_0045597,positive regulation of cell differentiation
http://purl.obolibrary.org/obo/CHEBI_133972,primary nitroalkane,http://purl.obolibrary.org/obo/CHEBI_7587,nitroalkane
http://purl.obolibrary.org/obo/ENVO_03510041,wood stain,http://purl.obolibrary.org/obo/ENVO_03510040,stain
http://purl.obolibrary.org/obo/GO_0046670,positive regulation of retinal cell programmed cell death,http://purl.obolibrary.org/obo/GO_0051094,positive regulation of developmental process
http://purl.obolibrary.org/obo/UBERON_0004883,lung mesenchyme,http://purl.obolibrary.org/obo/UBERON_0000077,mixed endoderm/mesoderm-derived structure
http://purl.obolibrary.org/obo/UBERON_0001697,orbit of skull,http://purl.obolibrary.org/obo/UBERON_0010313,neural crest-derived structure
http://purl.obolibrary.org/obo/BFO_0000029,site,http://purl.obolibrary.org/obo/BFO_0000141,immaterial entity
http://purl.obolibrary.org/obo/GO_0051252,regulation of RNA metabolic process,http://purl.obolibrary.org/obo/GO_0019219,regulation of nucleobase-containing compound metabolic process
http://purl.obolibrary.org/obo/GO_0032330,regulation of chondrocyte differentiation,http://purl.obolibrary.org/obo/GO_0045595,regulation of cell differentiation
http://purl.obolibrary.org/obo/CHEBI_50367,taxane diterpenoid,http://www.w3.org/2002/07/owl#Thing,owl:Thing
http://purl.obolibrary.org/obo/ECTO_0070041,exposure to lentil via ingestion,http://purl.obolibrary.org/obo/ECTO_0000015,exposure to environmental material
http://purl.obolibrary.org/obo/CHEBI_24663,hydroxy-5beta-cholanic acid,http://purl.obolibrary.org/obo/CHEBI_36248,5beta-cholanic acids
http://purl.obolibrary.org/obo/CHEBI_63593,1-glycosyltriazole,http://purl.obolibrary.org/obo/CHEBI_21731,N-glycosyl compound
http://purl.obolibrary.org/obo/ECTO_9001866,exposure to antipsoriatic,http://purl.obolibrary.org/obo/ECTO_9001837,exposure to dermatologic drug
http://purl.obolibrary.org/obo/CHEBI_38193,phenylpyridine,http://purl.obolibrary.org/obo/CHEBI_26421,pyridines
http://purl.obolibrary.org/obo/ECTO_9000745,exposure to mephedrone,http://purl.obolibrary.org/obo/ECTO_9000203,exposure to amine
http://purl.obolibrary.org/obo/ECTO_9000878,exposure to prochloraz,http://purl.obolibrary.org/obo/ECTO_9000278,exposure to ether
http://purl.obolibrary.org/obo/GO_0055006,cardiac cell development,http://purl.obolibrary.org/obo/GO_0048468,cell development
http://purl.obolibrary.org/obo/CHEBI_35881,pnictogen hydride,http://purl.obolibrary.org/obo/CHEBI_33242,inorganic hydride
http://purl.obolibrary.org/obo/GO_0034249,negative regulation of cellular amide metabolic process,http://purl.obolibrary.org/obo/GO_0034248,regulation of cellular amide metabolic process
http://purl.obolibrary.org/obo/CL_0000050,megakaryocyte-erythroid progenitor cell,http://purl.obolibrary.org/obo/CL_0000763,myeloid cell
http://purl.obolibrary.org/obo/CHEBI_37191,silicon oxoanion,http://purl.obolibrary.org/obo/CHEBI_24834,inorganic anion
http://purl.obolibrary.org/obo/CHEBI_25646,octanoate,http://purl.obolibrary.org/obo/CHEBI_58954,straight-chain saturated fatty acid anion
http://purl.obolibrary.org/obo/ECTO_9000544,exposure to diuron,http://purl.obolibrary.org/obo/ECTO_9000058,exposure to dichlorobenzene
http://purl.obolibrary.org/obo/ECTO_9001214,exposure to pentachloroethane,http://purl.obolibrary.org/obo/ECTO_9001621,exposure to volatile organic compound
http://purl.obolibrary.org/obo/UBERON_0000122,neuron projection bundle,http://purl.obolibrary.org/obo/UBERON_0005162,multi cell part structure
http://purl.obolibrary.org/obo/CHEBI_33189,hydrazonomalononitrile,http://purl.obolibrary.org/obo/CHEBI_18379,nitrile
http://purl.obolibrary.org/obo/CHEBI_25238,methoxybenzoic acid,http://purl.obolibrary.org/obo/CHEBI_22723,benzoic acids
http://purl.obolibrary.org/obo/GO_0019867,outer membrane,http://purl.obolibrary.org/obo/GO_0016020,membrane
http://purl.obolibrary.org/obo/CHEBI_83750,"(2S,3S)-cyproconazole",http://purl.obolibrary.org/obo/CHEBI_83748,"2-(4-chlorophenyl)-3-cyclopropyl-1-(1H-1,2,4-triazol-1-yl)butan-2-ol"
http://purl.obolibrary.org/obo/CHEBI_46788,2-ethoxyethanol,http://purl.obolibrary.org/obo/CHEBI_15734,primary alcohol
http://purl.obolibrary.org/obo/CHEBI_60804,copolymer,http://purl.obolibrary.org/obo/CHEBI_60027,polymer
http://purl.obolibrary.org/obo/UBERON_0002107,liver,http://purl.obolibrary.org/obo/UBERON_0005172,abdomen element
http://purl.obolibrary.org/obo/CHEBI_84087,human urinary metabolite,http://purl.obolibrary.org/obo/CHEBI_77746,human metabolite
http://purl.obolibrary.org/obo/NCBITaxon_23211,Pyrus communis,http://purl.obolibrary.org/obo/NCBITaxon_3766,Pyrus
http://purl.obolibrary.org/obo/ECTO_9001276,exposure to thorium dioxide,http://purl.obolibrary.org/obo/ECTO_0000481,exposure to transition element
http://purl.obolibrary.org/obo/FOODON_00003717,ginger root (whole),http://purl.obolibrary.org/obo/FOODON_00002718,ginger root
http://purl.obolibrary.org/obo/ENVO_01000406,snow,http://purl.obolibrary.org/obo/ENVO_00000131,glacial feature
http://purl.obolibrary.org/obo/GO_0051985,negative regulation of chromosome segregation,http://purl.obolibrary.org/obo/GO_0051983,regulation of chromosome segregation
http://purl.obolibrary.org/obo/CHEBI_9937,vasopressin,http://purl.obolibrary.org/obo/CHEBI_24533,heterodetic cyclic peptide
http://purl.obolibrary.org/obo/UBERON_0009722,entire pharyngeal arch endoderm,http://purl.obolibrary.org/obo/UBERON_0005291,embryonic tissue
http://purl.obolibrary.org/obo/CHEBI_50511,bipyridines,http://purl.obolibrary.org/obo/CHEBI_36820,ring assembly
http://purl.obolibrary.org/obo/CHEBI_76712,EC 4.2.* (C-O lyase) inhibitor,http://purl.obolibrary.org/obo/CHEBI_76710,EC 4.* (lyase) inhibitor
http://purl.obolibrary.org/obo/GO_0060467,negative regulation of fertilization,http://purl.obolibrary.org/obo/GO_0080154,regulation of fertilization
http://purl.obolibrary.org/obo/UBERON_0003830,thoracic segment muscle,http://purl.obolibrary.org/obo/UBERON_0005181,thoracic segment organ
http://purl.obolibrary.org/obo/CHEBI_35618,aromatic ether,http://purl.obolibrary.org/obo/CHEBI_25698,ether
http://purl.obolibrary.org/obo/GO_0019336,phenol-containing compound catabolic process,http://purl.obolibrary.org/obo/GO_0019439,aromatic compound catabolic process
http://purl.obolibrary.org/obo/ECTO_9001228,exposure to phthalic anhydride,http://purl.obolibrary.org/obo/ECTO_0000371,exposure to oxygen molecular entity
http://purl.obolibrary.org/obo/GO_0030036,actin cytoskeleton organization,http://purl.obolibrary.org/obo/GO_0030029,actin filament-based process
http://purl.obolibrary.org/obo/CHEBI_35610,antineoplastic agent,http://purl.obolibrary.org/obo/CHEBI_23888,drug
http://purl.obolibrary.org/obo/GO_0050963,detection of electrical stimulus involved in sensory perception,http://purl.obolibrary.org/obo/GO_0050981,detection of electrical stimulus
http://purl.obolibrary.org/obo/ENVO_01001219,ionizing stellar radiation,http://purl.obolibrary.org/obo/ENVO_01001211,stellar radiation
http://purl.obolibrary.org/obo/UBERON_0004581,systemic venous system,http://purl.obolibrary.org/obo/UBERON_0002049,vasculature
http://purl.obolibrary.org/obo/CHEBI_35471,psychotropic drug,http://purl.obolibrary.org/obo/CHEBI_35470,central nervous system drug
http://purl.obolibrary.org/obo/MAXO_0000211,glutamatergic pathway modifying agent therapy,http://purl.obolibrary.org/obo/MAXO_0000171,antidementia agent therapy
http://purl.obolibrary.org/obo/GO_0060931,sinoatrial node cell development,http://purl.obolibrary.org/obo/GO_0060926,cardiac pacemaker cell development
http://purl.obolibrary.org/obo/ECTO_9000899,exposure to telmisartan,http://purl.obolibrary.org/obo/ECTO_0000371,exposure to oxygen molecular entity
