Term ID,Term Label,Parent ID,Parent Label
http://purl.obolibrary.org/obo/FMA_57012,Distal contact surface of left lower second molar tooth,http://example.com/left,Sum of left of bilateral anatomical entity
http://purl.obolibrary.org/obo/FMA_61219,Anterior auricular lymph node,http://purl.obolibrary.org/obo/FMA_61218,Deep parotid lymph node
http://purl.obolibrary.org/obo/FMA_320742,Proximal tendon of left vertical muscle of tongue,http://example.com/left,Sum of left of bilateral anatomical entity
http://purl.obolibrary.org/obo/FMA_259761,Bony part of right maxilla,http://purl.obolibrary.org/obo/FMA_259759,Bony part of maxilla
http://purl.obolibrary.org/obo/FMA_57058,Fibrous membrane of articular capsule of left temporomandibular joint,http://purl.obolibrary.org/obo/FMA_57053,Fibrous membrane of articular capsule of temporomandibular joint
http://purl.obolibrary.org/obo/FMA_232651,Left buccinator lymph node,http://purl.obolibrary.org/obo/FMA_61223,Buccinator lymph node
http://purl.obolibrary.org/obo/FMA_56611,Mesiobuccal root of upper first molar tooth,http://purl.obolibrary.org/obo/FMA_56608,Root of upper first molar tooth
http://purl.obolibrary.org/obo/FMA_12516,Tooth,http://purl.obolibrary.org/obo/OHD_0000206,functional tooth
http://purl.obolibrary.org/obo/FMA_56357,Buccal surface of left lower second molar tooth,http://purl.obolibrary.org/obo/FMA_56343,Buccal surface of lower second molar tooth
http://purl.obolibrary.org/obo/FMA_55631,Dental pulp,http://purl.obolibrary.org/obo/FMA_19783,Loose connective tissue
http://purl.obolibrary.org/obo/OHD_0000081,missing tooth 23 finding,http://purl.obolibrary.org/obo/OHD_0000026,missing tooth finding
http://purl.obolibrary.org/obo/FMA_57500,Crown proper of right upper second premolar tooth,http://purl.obolibrary.org/obo/FMA_57499,Crown proper of upper second premolar tooth
http://purl.obolibrary.org/obo/FMA_320685,Distal tendon of left genioglossus,http://purl.obolibrary.org/obo/FMA_320681,Distal tendon of genioglossus
http://purl.obolibrary.org/obo/FMA_57527,Crown proper of left upper second molar tooth,http://example.com/left,Sum of left of bilateral anatomical entity
http://purl.obolibrary.org/obo/FMA_320728,Proximal tendon of right transverse muscle of tongue,http://purl.obolibrary.org/obo/FMA_320726,Proximal tendon of transverse muscle of tongue
http://purl.obolibrary.org/obo/FMA_224494,Set of right inferior deep lateral cervical lymph nodes,http://example.com/right,Sum of right of bilateral anatomical entity
http://purl.obolibrary.org/obo/FMA_57665,Lingual surface of right upper canine tooth,http://example.com/right,Sum of right of bilateral anatomical entity
http://purl.obolibrary.org/obo/FMA_57660,Mesial contact surface of right upper first premolar tooth,http://purl.obolibrary.org/obo/FMA_57656,Mesial contact surface of upper first premolar tooth
http://purl.obolibrary.org/obo/FMA_319957,Belly of styloglossus,http://purl.obolibrary.org/obo/FMA_319795,Belly of muscle of head
http://purl.obolibrary.org/obo/FMA_75781,Set of interalveolar septa of mandible,http://purl.obolibrary.org/obo/FMA_276103,Set of region of organ component of bone
http://purl.obolibrary.org/obo/FMA_55801,Upper first secondary premolar tooth,http://purl.obolibrary.org/obo/FMA_55716,Upper secondary premolar tooth
http://purl.obolibrary.org/obo/CDT_1000009,billing code for other endodontic procedures,http://purl.obolibrary.org/obo/CDT_1000030,billing code for endodontics
http://purl.obolibrary.org/obo/OHD_0000033,crown restoration procedure,http://purl.obolibrary.org/obo/OHD_0000004,tooth restoration procedure
http://purl.obolibrary.org/obo/OHD_0000024,caries finding,http://purl.obolibrary.org/obo/OHD_0000010,dental finding
