SourceTermID	SourceTerm	MappedTermLabel	MappedTermCURIE	MappedTermIRI	MappingScore	Tags	Ontology
AGQ_D	Allergy	allergic disease	MONDO:0005271	http://purl.obolibrary.org/obo/MONDO_0005271	0.952	None	EFO
ALB_CR_D	Albumin & Creatinine - Urine	urinary albumin to creatinine ratio	EFO:0007778	http://www.ebi.ac.uk/efo/EFO_0007778	0.838	None	EFO
ALQ	Alcohol Use	alcohol use disorder measurement	EFO:0009458	http://www.ebi.ac.uk/efo/EFO_0009458	0.792	None	EFO
APOB_E	Apolipoprotein B	apolipoprotein B to apolipoprotein A1 ratio 	EFO:0021897	http://www.ebi.ac.uk/efo/EFO_0021897	0.913	None	EFO
ARQ_F	Arthritis	arthritis	EFO:0005856	http://www.ebi.ac.uk/efo/EFO_0005856	0.992	None	EFO
ARX_F	Arthritis Body Measures	arthritis	EFO:0005856	http://www.ebi.ac.uk/efo/EFO_0005856	0.725	None	EFO
AUQ	Audiometry	pure tone hearing measurement	EFO:0007617	http://www.ebi.ac.uk/efo/EFO_0007617	0.774	None	EFO
B12_D	Vitamin B12	vitamin B12 deficiency	EFO:0000734	http://www.ebi.ac.uk/efo/EFO_0000734	0.905	None	EFO
BHQ_D	Bowel Health	intestinal cancer	EFO:0007330	http://www.ebi.ac.uk/efo/EFO_0007330	0.701	None	EFO
BMX	Body Measures	body weights and measures	EFO:0004324	http://www.ebi.ac.uk/efo/EFO_0004324	0.93	None	EFO
BPQ	Blood Pressure & Cholesterol	blood pressure	EFO:0004325	http://www.ebi.ac.uk/efo/EFO_0004325	0.72	None	EFO
BPX	Blood Pressure	blood pressure	EFO:0004325	http://www.ebi.ac.uk/efo/EFO_0004325	0.979	None	EFO
CAFE_F	Caffeine & Caffeine Metabolites - Urine	caffeine metabolite measurement	EFO:0007872	http://www.ebi.ac.uk/efo/EFO_0007872	0.822	None	EFO
CBC_D	Complete Blood Count with 5-Part Differential - Whole Blood	Blood Cell Count with Differential	EFO:0009234	http://www.ebi.ac.uk/efo/EFO_0009234	0.764	None	EFO
CBC_E	Complete Blood Count with 5-part Differential - Whole Blood	Blood Cell Count with Differential	EFO:0009234	http://www.ebi.ac.uk/efo/EFO_0009234	0.764	None	EFO
CBC_I	Complete Blood Count with 5-Part Differential - Whole Blood	Blood Cell Count with Differential	EFO:0009234	http://www.ebi.ac.uk/efo/EFO_0009234	0.764	None	EFO
CBC_J	Complete Blood Count with 5-Part Differential	Blood Cell Count with Differential	EFO:0009234	http://www.ebi.ac.uk/efo/EFO_0009234	0.756	None	EFO
CDQ	Cardiovascular Health	cardiovascular disease	EFO:0000319	http://www.ebi.ac.uk/efo/EFO_0000319	0.827	None	EFO
CFQ	Cognitive Functioning	cognition	EFO:0003925	http://www.ebi.ac.uk/efo/EFO_0003925	0.901	None	EFO
CHLMDA_D	Chlamydia & Gonorrhea - Urine	gonorrhea	DOID:7551	http://purl.obolibrary.org/obo/DOID_7551	0.725	None	EFO
CHLMDA_F	Chlamydia - Urine	Chlamydia trachomatis infectious disease	EFO:0007205	http://www.ebi.ac.uk/efo/EFO_0007205	0.762	None	EFO
CIQDEP_B	Mental Health - Depression	depressive disorder	MONDO:0002050	http://purl.obolibrary.org/obo/MONDO_0002050	0.882	None	EFO
CIQGAD	Mental Health - Generalized Anxiety Disorder	generalized anxiety disorder	EFO:1001892	http://www.ebi.ac.uk/efo/EFO_1001892	0.893	None	EFO
CIQMDEP	Mental Health - Depression	depressive disorder	MONDO:0002050	http://purl.obolibrary.org/obo/MONDO_0002050	0.882	None	EFO
CIQPAN_B	Mental Health - Panic Disorder	panic disorder	EFO:0004262	http://www.ebi.ac.uk/efo/EFO_0004262	0.796	None	EFO
CKQ_G	Creatine Kinase	Elevated circulating creatine kinase concentration	HP:0003236	http://purl.obolibrary.org/obo/HP_0003236	0.846	None	EFO
COT_H	Cotinine and Hydroxycotinine - Serum	hydroxycotinine measurement	EFO:0800964	http://www.ebi.ac.uk/efo/EFO_0800964	0.804	None	EFO
DIQ	Diabetes	diabetes mellitus	EFO:0000400	http://www.ebi.ac.uk/efo/EFO_0000400	0.991	None	EFO
DUQ	Drug Use	drug dependence	EFO:0003890	http://www.ebi.ac.uk/efo/EFO_0003890	0.944	None	EFO
DUQY_F_R	Drug Use - Youth	drug dependence	EFO:0003890	http://www.ebi.ac.uk/efo/EFO_0003890	0.796	None	EFO
DXXAAC_H	Dual-Energy X-ray Absorptiometry - Abdominal Aortic Calcification	abdominal aortic calcification measurement	EFO:0010272	http://www.ebi.ac.uk/efo/EFO_0010272	0.745	None	EFO
ECQ	Early Childhood	Global developmental delay	HP:0001263	http://purl.obolibrary.org/obo/HP_0001263	0.701	None	EFO
ENX_E	Exhaled Nitric Oxide	nitric oxide exhalation measurement	EFO:0005536	http://www.ebi.ac.uk/efo/EFO_0005536	0.873	None	EFO
EPP_D	Erythrocyte Protoporphyrin	erythropoietic protoporphyria	MONDO:0001676	http://purl.obolibrary.org/obo/MONDO_0001676	0.74	None	EFO
FAS_G	Fatty Acids - Serum	saturated fatty acids to total fatty acids percentage 	EFO:0022305	http://www.ebi.ac.uk/efo/EFO_0022305	0.715	None	EFO
FERTIN_D	Ferritin	ferritin measurement	EFO:0004459	http://www.ebi.ac.uk/efo/EFO_0004459	0.819	None	EFO
FETIB_D	Iron, Total Iron Binding Capacity (TIBC), & Transferrin Saturation	total iron binding capacity	EFO:0006334	http://www.ebi.ac.uk/efo/EFO_0006334	0.727	None	EFO
FLXCLN_F	Fluorosis - Clinical	dental fluorosis	EFO:1000892	http://www.ebi.ac.uk/efo/EFO_1000892	0.721	None	EFO
FOLATE_D	Folate - RBC & Serum	red blood cell folate measurement	EFO:0009703	http://www.ebi.ac.uk/efo/EFO_0009703	0.852	None	EFO
FOLATE_G	Folate - RBC	red blood cell folate measurement	EFO:0009703	http://www.ebi.ac.uk/efo/EFO_0009703	0.987	None	EFO
GHB_D	Glycohemoglobin	HbA1c measurement	EFO:0004541	http://www.ebi.ac.uk/efo/EFO_0004541	0.732	None	EFO
GLU_D	Plasma Fasting Glucose & Insulin	fasting blood glucose measurement	EFO:0004465	http://www.ebi.ac.uk/efo/EFO_0004465	0.855	None	EFO
GLU_H	Plasma Fasting Glucose	fasting blood glucose measurement	EFO:0004465	http://www.ebi.ac.uk/efo/EFO_0004465	0.982	None	EFO
HCQ_B	Hepatitis C Follow Up	follow-up	EFO:0009642	http://www.ebi.ac.uk/efo/EFO_0009642	0.739	None	EFO
HCY_D	Homocysteine	homocysteine measurement	EFO:0004578	http://www.ebi.ac.uk/efo/EFO_0004578	0.84	None	EFO
HDL_D	Cholesterol - HDL	HDL cholesterol change measurement	EFO:0007805	http://www.ebi.ac.uk/efo/EFO_0007805	0.806	None	EFO
HDL_I	Cholesterol - High-Density Lipoprotein (HDL)	high density lipoprotein cholesterol measurement	EFO:0004612	http://www.ebi.ac.uk/efo/EFO_0004612	0.876	None	EFO
HDL_J	Cholesterol - High - Density Lipoprotein (HDL)	high density lipoprotein cholesterol measurement	EFO:0004612	http://www.ebi.ac.uk/efo/EFO_0004612	0.876	None	EFO
HEPA_D	Hepatitis A Antibody	hepatitis A virus infection	EFO:0007305	http://www.ebi.ac.uk/efo/EFO_0007305	0.766	None	EFO
HEPA_H	Hepatitis A	hepatitis A virus infection	EFO:0007305	http://www.ebi.ac.uk/efo/EFO_0007305	0.989	None	EFO
HEQ_H	Hepatitis	Hepatitis	HP:0012115	http://purl.obolibrary.org/obo/HP_0012115	0.987	None	EFO
HP_01_R	Helicobacter pylori (HP1)	Helicobacter pylori infectious disease	EFO:1000961	http://www.ebi.ac.uk/efo/EFO_1000961	0.803	None	EFO
HP2_01_R	Helicobacter pylori (HP1), Second Exam	Helicobacter pylori infectious disease	EFO:1000961	http://www.ebi.ac.uk/efo/EFO_1000961	0.71	None	EFO
IMQ	Immunization	vaccination	EFO:0004292	http://www.ebi.ac.uk/efo/EFO_0004292	0.87	None	EFO
INS_H	Insulin	insulinoma	EFO:0000549	http://www.ebi.ac.uk/efo/EFO_0000549	0.835	None	EFO
L02HPA_A	Hepatitis A Antibody	hepatitis A virus infection	EFO:0007305	http://www.ebi.ac.uk/efo/EFO_0007305	0.766	None	EFO
L05_B	Chlamydia & Gonorrhea - Urine	gonorrhea	DOID:7551	http://purl.obolibrary.org/obo/DOID_7551	0.725	None	EFO
L06MH_C	Methylmalonic acid & Homocysteine	Methylmalonic acidemia with homocystinuria	ORPHANET.ORDO:26	http://www.orpha.net/ORDO/Orphanet_26	0.715	None	EFO
L06TFR_C	Ferritin & Transferrin Receptor	transferrin receptor protein 1 measurement	EFO:0802142	http://www.ebi.ac.uk/efo/EFO_0802142	0.758	None	EFO
L06VID_B	Vitamin D	vitamin D deficiency	EFO:0003762	http://www.ebi.ac.uk/efo/EFO_0003762	0.861	None	EFO
L06VIT_C	Vitamin C	vitamin C measurement	EFO:0600003	http://www.ebi.ac.uk/efo/EFO_0600003	0.804	None	EFO
L10_B	Glycohemoglobin	HbA1c measurement	EFO:0004541	http://www.ebi.ac.uk/efo/EFO_0004541	0.732	None	EFO
L10AM_B	Plasma Fasting Glucose, Serum C-peptide & Insulin	fasting blood glucose measurement	EFO:0004465	http://www.ebi.ac.uk/efo/EFO_0004465	0.708	None	EFO
L11PSA_B	Prostate specific antigen (PSA)	prostate specific antigen measurement	EFO:0004624	http://www.ebi.ac.uk/efo/EFO_0004624	0.806	None	EFO
L11PSA_C	Prostate Specific Antigen (PSA)	prostate specific antigen measurement	EFO:0004624	http://www.ebi.ac.uk/efo/EFO_0004624	0.806	None	EFO
L13_B	Cholesterol - Total & HDL	total cholesterol in IDL	EFO:0022184	http://www.ebi.ac.uk/efo/EFO_0022184	0.766	None	EFO
L13AM_B	Cholesterol - LDL & Triglycerides	triglycerides in LDL measurement 	EFO:0022320	http://www.ebi.ac.uk/efo/EFO_0022320	0.738	None	EFO
