NHANES Variable ID,NHANES Variable Label,Mapped Ontology Term Label,Mapped Ontology Term IRI,Mapping Score,Ontology
FFQ0080A,Q.80A Did you eat lean steak,fish steak,http://purl.obolibrary.org/obo/FOODON_00002986,0.424825954,FOODON
OSQ040be,Under/over 50 when fracd. wrist 5th time,wrist fracture,http://www.ebi.ac.uk/efo/EFO_0009515,0.424761199,EFO
OHX11PCS,LOA: Max L(C) MF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.424740815,NCIT
OHX22PCS,LOA: Mnd L(C) MF FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.424633847,NCIT
PSQ240,T/F:Blv prost.-cancer men die in 5 yrs,prostate cancer,http://purl.obolibrary.org/obo/MONDO_0008315,0.424620861,MONDO
SMQ940,Last 7-d someone used e-cigs indoors,Someone There,http://purl.obolibrary.org/obo/NCIT_C172728,0.424489629,NCIT
LBCBR8,22'44'56'-hxabromodiphyl ethr(pg/g),exposure to decabromodiphenyl ether,http://purl.obolibrary.org/obo/ECTO_9001057,0.424366343,ECTO
OHD09PCS,LOA: mesial #9 PD,Mesial Surface,http://purl.obolibrary.org/obo/NCIT_C52590,0.424345417,NCIT
LBD195LC,PCB195,MIR195 Gene,http://purl.obolibrary.org/obo/NCIT_C81749,0.42431221,NCIT
SS195,PCB195,MIR195 Gene,http://purl.obolibrary.org/obo/NCIT_C81749,0.42431221,NCIT
OHX12BPS,BOP: mesial #12,Mesial Surface,http://purl.obolibrary.org/obo/NCIT_C52590,0.424092277,NCIT
FFQ0097A,Q.97A Did you eat soup winter,Winter,http://purl.obolibrary.org/obo/NCIT_C94730,0.423790974,NCIT
URDGP2LC,GLU-P2 (pg/mL),Group P2 (qualifier value),http://snomed.info/id/261601004,0.423440286,SNOMED
URXGLP2,GLU-P2 (pg/mL),Group P2 (qualifier value),http://snomed.info/id/261601004,0.423440286,SNOMED
CIQD083,What is longest no weeks felt that way,MMSE - What Is the Day of Week,http://purl.obolibrary.org/obo/NCIT_C100546,0.423423437,NCIT
MCQ140,Trouble seeing even with glass/contacts,Trouble with Coordination,http://purl.obolibrary.org/obo/NCIT_C111064,0.423389924,NCIT
LBD156LC,PCB156,CB155,http://www.ebi.ac.uk/efo/EFO_0004075,0.423327622,EFO
PFQ020,Crawl walk run play limitations,Able to crawl (finding),http://snomed.info/id/282607006,0.423296513,SNOMED
SDUHIBPL,Mono-2-hydroxy-iso-butyl phthlte cmt,Butylated Hydroxyanisole,http://purl.obolibrary.org/obo/NCIT_C44347,0.423055238,NCIT
OHX08PCA,LOA: Max R(CI) ML FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.423035695,NCIT
LBXVTFT,Blood aaa-Trifluorotoluene (ng/mL),exposure to trifluorochlorine,http://purl.obolibrary.org/obo/ECTO_9001413,0.422935171,ECTO
LBXVTFT,Blood aaa - Trifluorotoluene (ng/mL),exposure to trifluorochlorine,http://purl.obolibrary.org/obo/ECTO_9001413,0.422935171,ECTO
OHX25PCA,LOA: Mnd R(CI) ML FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.422930009,NCIT
LBDDFSLC,Lead dust floor (GFAAS),Floor,http://purl.obolibrary.org/obo/NCIT_C66795,0.422605417,NCIT
LBD183LC,PCB183,CB185,http://www.ebi.ac.uk/efo/EFO_0004048,0.422549855,EFO
SS183,PCB183,CB185,http://www.ebi.ac.uk/efo/EFO_0004048,0.422549855,EFO
WTSAF4YR,4Yr AM(3-11) & fasting (12+) weights,fasting,http://www.ebi.ac.uk/efo/EFO_0002756,0.422522406,EFO
LBD153LC,PCB153,CB155,http://www.ebi.ac.uk/efo/EFO_0004075,0.422436023,EFO
SS153,PCB153,CB155,http://www.ebi.ac.uk/efo/EFO_0004075,0.422436023,EFO
OHX13PCA,LOA: Max L(2B) ML FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.422355907,NCIT
OHX20PCA,LOA: Mnd L(2B) ML FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.422250731,NCIT
OHX14PCA,LOA: Max L(1M) ML FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.422234397,NCIT
OHX09PCP,LOA: Max L(CI) DL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.422170574,NCIT
OHX19PCA,LOA: Mnd L(1M) ML FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.422129311,NCIT
SSMONPL,Monooxoisononyl phthalate cmt cd,Phthalate,http://purl.obolibrary.org/obo/NCIT_C152072,0.422119245,NCIT
OHX15PCA,LOA: Max L(2M) ML FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.422109785,NCIT
OHX24PCP,LOA: Mnd L(CI) DL FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.422065535,NCIT
OHX12PCA,LOA: Max L(1B) ML FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.422060104,NCIT
OHX18PCA,LOA: Mnd L(2M) ML FGM-sulcus(mm),Radial Sulcus,http://purl.obolibrary.org/obo/NCIT_C187836,0.422004792,NCIT
