Source Term Id,Source Term,Mapped Term Label,Mapped Term IRI,Mapping Score,Ontology
DMAETHN,Logical Imputation Flag for Ethnicity,Computed Ethnicity Code,http://purl.obolibrary.org/obo/NCIT_C164474,0.515792276199561,NCIT
DMARACE,Logical Imputation Flag for Race Recode,Statistical Imputation,http://purl.obolibrary.org/obo/NCIT_C80304,0.539607548812673,NCIT
DMDBORN,Country of Birth - Recode,Birth Country Code,http://purl.obolibrary.org/obo/NCIT_C93516,0.8727481206513511,NCIT
DMDBORN2,Country of Birth - Recode,Birth Country Code,http://purl.obolibrary.org/obo/NCIT_C93516,0.8727481206513511,NCIT
DMDCITZN,Citizenship Status,Citizen,http://purl.obolibrary.org/obo/NCIT_C90516,0.5962069525854661,NCIT
DMDEDUC,Education - Recode (old version),Education,http://purl.obolibrary.org/obo/NCIT_C16529,0.6524374842662194,NCIT
DMDEDUC2,Education Level - Adults 20+,Education Level,http://purl.obolibrary.org/obo/NCIT_C17953,0.7875470990458977,NCIT
DMDEDUC3,Education Level - Children/Youth 6-19,Education Level,http://purl.obolibrary.org/obo/NCIT_C17953,0.6781425981873008,NCIT
DMDHHSIZ,Total number of people in the Household,Number of Children in Household,http://purl.obolibrary.org/obo/NCIT_C19309,0.6350359108882595,NCIT
DMDHRAGE,Age,age,http://www.ebi.ac.uk/efo/EFO_0000246,0.9945025841713913,EFO
DIQ175C,Age,age,http://www.ebi.ac.uk/efo/EFO_0000246,0.9945025841713913,EFO
DMDHRBRN,Country of Birth,Country of birth (finding),http://snomed.info/id/370159000,0.8800762262887654,SNOMED
DMDHRBR2,Country of Birth,Country of birth (finding),http://snomed.info/id/370159000,0.8800762262887654,SNOMED
DMDHREDU,Education Level,Education Level,http://purl.obolibrary.org/obo/NCIT_C17953,0.9909792423115461,NCIT
DMDHRGND,Gender,Gender,http://purl.obolibrary.org/obo/NCIT_C17357,0.9864855793480749,NCIT
RIAGENDR,Gender,Gender,http://purl.obolibrary.org/obo/NCIT_C17357,0.9864855793480749,NCIT
DMDHRMAR,Marital Status,Marital Status,http://purl.obolibrary.org/obo/NCIT_C25188,0.9947566059025995,NCIT
DMDMARTL,Marital Status,Marital Status,http://purl.obolibrary.org/obo/NCIT_C25188,0.9947566059025995,NCIT
DMDHSEDU,HH Ref Person's Spouse Education Level,Person Education Level Code,http://purl.obolibrary.org/obo/NCIT_C93986,0.7556272469165747,NCIT
DMDSCHOL,Now attending school,Attending school (finding),http://snomed.info/id/224305003,0.8496939233361909,SNOMED
DMDYRSUS,Length of time in US,Length,http://purl.obolibrary.org/obo/NCIT_C25334,0.7495467263913594,NCIT
DMQMILIT,Veteran/Military Status,Military Status,http://purl.obolibrary.org/obo/NCIT_C171085,0.7682976168022835,NCIT
INDFMINC,Annual Family Income,Annual,http://purl.obolibrary.org/obo/NCIT_C54647,0.645204462769965,NCIT
INDFMIN2,Annual Family Income,Annual,http://purl.obolibrary.org/obo/NCIT_C54647,0.645204462769965,NCIT
INDFMPIR,Family PIR,Family,http://purl.obolibrary.org/obo/NCIT_C45290,0.7506864718612003,NCIT
INDHHINC,Annual Household Income,Household Income,http://purl.obolibrary.org/obo/NCIT_C70811,0.783397825112533,NCIT
INDHHIN2,Annual Household Income,Household Income,http://purl.obolibrary.org/obo/NCIT_C70811,0.783397825112533,NCIT
RIDAGEEX,Exam Age in Months - Recode,Recode,http://purl.obolibrary.org/obo/NCIT_C141464,0.5317805153624184,NCIT
RIDAGEMN,Age in Months - Recode,Recode,http://purl.obolibrary.org/obo/NCIT_C141464,0.614707520604776,NCIT
RIDAGEYR,Age at Screening Adjudicated - Recode,Adjudication,http://purl.obolibrary.org/obo/NCIT_C86039,0.568210682836136,NCIT
RIDAGGRP,Age at Screening Adjudicated - Recode,Adjudication,http://purl.obolibrary.org/obo/NCIT_C86039,0.568210682836136,NCIT
RIDEXMON,Six month time period,Six Times Monthly,http://purl.obolibrary.org/obo/NCIT_C98856,0.5927420872306782,NCIT
RIDEXPRG,Pregnancy Status at Exam - Recode,Pregnancy Status,http://purl.obolibrary.org/obo/NCIT_C69218,0.758803112818764,NCIT
RIDPREG,Pregnancy Status - Recode (old version),Pregnancy Status,http://purl.obolibrary.org/obo/NCIT_C69218,0.6941991821014543,NCIT
RIDRETH1,Race/Ethnicity - Recode,Computed Ethnicity Code,http://purl.obolibrary.org/obo/NCIT_C164474,0.6579171914353993,NCIT
RIDRETH2,Linked NH3 Race/Ethnicity - Recode,Computed Ethnicity Code,http://purl.obolibrary.org/obo/NCIT_C164474,0.5026877637772905,NCIT
RIDSTATR,Interview/Examination Status,Interview,http://purl.obolibrary.org/obo/NCIT_C16751,0.6352648020000592,NCIT
SDDSRVYR,Data Release Number,Data Release,http://purl.obolibrary.org/obo/NCIT_C172217,0.7309815153787099,NCIT
SDMVPSU,Masked Variance Pseudo-PSU,Pseudocode,http://purl.obolibrary.org/obo/NCIT_C47900,0.5066875308018743,NCIT
SDMVSTRA,Masked Variance Pseudo-Stratum,Pseudocode,http://purl.obolibrary.org/obo/NCIT_C47900,0.45300807781363406,NCIT
WTINT2YR,Full Sample 2 Year Interview Weight,Interview,http://purl.obolibrary.org/obo/NCIT_C16751,0.5780673497275804,NCIT
WTINT4YR,Full Sample 4 Year Interview Weight,Interview,http://purl.obolibrary.org/obo/NCIT_C16751,0.5747294198615001,NCIT
WTMEC2YR,Full Sample 2 Year MEC Exam Weight,Sample Weight,http://purl.obolibrary.org/obo/NCIT_C87555,0.5806047106647957,NCIT
WTMEC4YR,Full Sample 4 Year MEC Exam Weight,Sample Weight,http://purl.obolibrary.org/obo/NCIT_C87555,0.5769825400724714,NCIT
DSD010,Any Dietary Supplements Taken,Dietary Supplement,http://purl.obolibrary.org/obo/NCIT_C1505,0.8236444361340736,NCIT
DSDCOUNT,of Dietary Supplements Taken,Dietary Supplement,http://purl.obolibrary.org/obo/NCIT_C1505,0.8096295615237756,NCIT
DSD070,Was Container Seen,Container,http://purl.obolibrary.org/obo/NCIT_C43186,0.7010565012640626,NCIT
DSD090,How Long Supplement Taken (Days),Supplement,http://purl.obolibrary.org/obo/NCIT_C60763,0.6186437489940451,NCIT
DSD100Q,How Often Taken Last Month? (Quantity),Quantity,http://purl.obolibrary.org/obo/NCIT_C25256,0.5641778987889944,NCIT
DSD100U,How Often Taken in Last Month? (Unit),How Often,http://purl.obolibrary.org/obo/NCIT_C118873,0.5887091233900793,NCIT
DSD120Q,Quantity of supplement taken,Quantity,http://purl.obolibrary.org/obo/NCIT_C25256,0.6271401747887171,NCIT
DSD120U,Dosage Form,Cone Dosage Form,http://purl.obolibrary.org/obo/NCIT_C42900,0.8874320299610831,NCIT
DSDANTA,Antacid Reported as Dietary Supplement,Dietary Supplement,http://purl.obolibrary.org/obo/NCIT_C1505,0.6953645863923104,NCIT
DSDMTCH,Matching Code,HLA Matching,http://purl.obolibrary.org/obo/NCIT_C68707,0.6768300290610584,NCIT
DSDSUPID,Supplement ID Number,Supplement,http://purl.obolibrary.org/obo/NCIT_C60763,0.7032135829457372,NCIT
DSDPID,Supplement ID Number,Supplement,http://purl.obolibrary.org/obo/NCIT_C60763,0.7032135829457372,NCIT
DSDSUPP,Supplement Name,Supplement,http://purl.obolibrary.org/obo/NCIT_C68641,0.7580746432598044,NCIT
BPAARM,Arm selected:,Selectin,http://purl.obolibrary.org/obo/NCIT_C17897,0.6372839080119725,NCIT
BPACSZ,Coded cuff size,size,http://www.ebi.ac.uk/efo/EFO_0001695,0.6031342336812533,EFO
BPAEN1,Enhancement used first reading,Enhancement Extent,http://purl.obolibrary.org/obo/NCIT_C182350,0.581616484288802,NCIT
BPAEN2,Enhancement used second reading,Enhancement Extent,http://purl.obolibrary.org/obo/NCIT_C182350,0.5686013846187417,NCIT
BPAEN3,Enhancement used third reading,Third,http://purl.obolibrary.org/obo/NCIT_C49464,0.5493818886118874,NCIT
BPAEN4,Enhancement used fourth reading,Fourth,http://purl.obolibrary.org/obo/NCIT_C49465,0.5642013342751824,NCIT
BPQ150A,food in the past 30 minutes,Minute,http://purl.obolibrary.org/obo/NCIT_C48154,0.571547039146271,NCIT
BPQ150B,alcohol in the past 30 minutes,Alcohol,http://purl.obolibrary.org/obo/NCIT_C2190,0.6494652870170098,NCIT
BPQ150C,coffee in the past 30 minutes,Coffee,http://purl.obolibrary.org/obo/NCIT_C178190,0.6541880018956853,NCIT
BPQ150D,cigarettes in the past 30 minutes,Smoked Any Cigarettes Past 30 Days,http://purl.obolibrary.org/obo/NCIT_C127086,0.620974683518751,NCIT
BPXCHR,60 sec HR (30 sec HR * 2),triple sec,http://purl.obolibrary.org/obo/FOODON_00002551,0.4050250067526022,FOODON
BPXDAR,DBP average reported to examinee,Reported Average Base Quality,http://purl.obolibrary.org/obo/NCIT_C182079,0.536773477956428,NCIT
BPXDB,# of dropped beats in 30 seconds,Dropped beats - heart (finding),http://snomed.info/id/248653008,0.6224856745979465,SNOMED
BPXDI1,Diastolic: Blood pres (1st rdg) mm Hg,diastolic blood pressure,http://www.ebi.ac.uk/efo/EFO_0006336,0.6357773692005164,EFO
BPXDI2,Diastolic: Blood pres (2nd rdg) mm Hg,diastolic blood pressure,http://www.ebi.ac.uk/efo/EFO_0006336,0.6414929869966719,EFO
BPXDI3,Diastolic: Blood pres (3rd rdg) mm Hg,diastolic blood pressure,http://www.ebi.ac.uk/efo/EFO_0006336,0.6237594062680103,EFO
BPXDI4,Diastolic: Blood pres (4th rdg) mm Hg,diastolic blood pressure,http://www.ebi.ac.uk/efo/EFO_0006336,0.6288062147074549,EFO
BPXML1,MIL: maximum inflation levels (mm Hg),Maximum,http://purl.obolibrary.org/obo/NCIT_C25564,0.5526451210403511,NCIT
BPXPLS,60 sec. pulse (30 sec. pulse * 2):,Pulse,http://purl.obolibrary.org/obo/NCIT_C64713,0.7891508941198271,NCIT
BPXPTY,Pulse type:,Pulse,http://purl.obolibrary.org/obo/NCIT_C25749,0.8484156777266939,NCIT
BPXPULS,Pulse regular or irregular,Irregular Pulse,http://purl.obolibrary.org/obo/NCIT_C50622,0.9355948178254798,NCIT
BPXSAR,SBP average reported to examinee,Reported Average Base Quality,http://purl.obolibrary.org/obo/NCIT_C182079,0.5354565938971589,NCIT
BPXSY1,Systolic: Blood pres (1st rdg) mm Hg,systolic blood pressure,http://www.ebi.ac.uk/efo/EFO_0006335,0.6390754884828633,EFO
BPXSY2,Systolic: Blood pres (2nd rdg) mm Hg,systolic blood pressure,http://www.ebi.ac.uk/efo/EFO_0006335,0.6445919691492952,EFO
BPXSY3,Systolic: Blood pres (3rd rdg) mm Hg,systolic blood pressure,http://www.ebi.ac.uk/efo/EFO_0006335,0.6274572047775017,EFO
BPXSY4,Systolic: Blood pres (4th rdg) mm Hg,systolic blood pressure,http://www.ebi.ac.uk/efo/EFO_0006335,0.6323392981673447,EFO
PEASCCT1,Blood Pressure,Blood Pressure,http://purl.obolibrary.org/obo/NCIT_C54706,0.9931355107200199,NCIT
PEASCST1,Blood Pressure Status,Blood Pressure,http://purl.obolibrary.org/obo/NCIT_C54706,0.772525205429919,NCIT
PEASCTM1,Blood Pressure Time in Seconds,Blood Pressure,http://purl.obolibrary.org/obo/NCIT_C54706,0.6747806488420669,NCIT
BMAAMP,Amputations,Amputation,http://purl.obolibrary.org/obo/NCIT_C15179,0.8845824573972564,NCIT
BMAEXCMT, exam,Prior Exam Date,http://purl.obolibrary.org/obo/NCIT_C182247,0.6190570051442467,NCIT
BAAEXCMT, exam,Prior Exam Date,http://purl.obolibrary.org/obo/NCIT_C182247,0.6190570051442467,NCIT
MSAEXCMT, exam,Prior Exam Date,http://purl.obolibrary.org/obo/NCIT_C182247,0.6190570051442467,NCIT
