Variable,Table,Source Term,Mapped Term Label,Mapped Term IRI,Mapping Score,Ontology
OHAEXSTS,OHXDEN_C,Overall Oral Health Exam Status,dental exam,http://purl.obolibrary.org/obo/OHD_0000019,0.35054576152681444,OHD
OHASCST3,OHXDEN_C,Dentition Status Code,dentist,http://purl.obolibrary.org/obo/OHD_0000018,0.32360507457884347,OHD
OHX01TC,OHXDEN_C,Tooth Count: #1,missing tooth 1 finding,http://purl.obolibrary.org/obo/OHD_0000059,0.3644243317707271,OHD
OHX02CSC,OHXDEN_C,Coronal Caries: Surface condition #2,restored tooth surface,http://purl.obolibrary.org/obo/OHD_0000208,0.42064312918673935,OHD
OHX02CTC,OHXDEN_C,Coronal Caries: Tooth count #2,dental caries,http://purl.obolibrary.org/obo/OHD_0000031,0.4620823959392532,OHD
OHX02DI,OHXDEN_C,Fluorosis DI: #2,prosthesis,http://purl.obolibrary.org/obo/OHD_0000301,0.3258393519833589,OHD
OHX02SE,OHXDEN_C,Dental Sealants: #2,dental procedure,http://purl.obolibrary.org/obo/OHD_0000002,0.39265029628252257,OHD
OHX02TC,OHXDEN_C,Tooth Count: #2,missing tooth 2 finding,http://purl.obolibrary.org/obo/OHD_0000060,0.35510788873877774,OHD
OHX03CSC,OHXDEN_C,Coronal Caries: Surface condition #3,restored tooth surface,http://purl.obolibrary.org/obo/OHD_0000208,0.4181018065674013,OHD
OHX03CTC,OHXDEN_C,Coronal Caries: Tooth count #3,dental caries,http://purl.obolibrary.org/obo/OHD_0000031,0.4582704207739537,OHD
OHX03DI,OHXDEN_C,Fluorosis DI: #3,prosthesis,http://purl.obolibrary.org/obo/OHD_0000301,0.32189950084457664,OHD
OHX03SE,OHXDEN_C,Dental Sealants: #3,dental procedure,http://purl.obolibrary.org/obo/OHD_0000002,0.38804627606813014,OHD
OHX03TC,OHXDEN_C,Tooth Count: #3,missing tooth 3 finding,http://purl.obolibrary.org/obo/OHD_0000061,0.37202673419931354,OHD
OHX04CSC,OHXDEN_C,Coronal Caries: Surface condition #4,restored tooth surface,http://purl.obolibrary.org/obo/OHD_0000208,0.418118858598033,OHD
OHX04CTC,OHXDEN_C,Coronal Caries: Tooth count #4,dental caries,http://purl.obolibrary.org/obo/OHD_0000031,0.4582959142469912,OHD
OHX04DI,OHXDEN_C,Fluorosis DI: #4,prosthesis,http://purl.obolibrary.org/obo/OHD_0000301,0.32192569783424607,OHD
OHX04SE,OHXDEN_C,Dental Sealants: #4,dental procedure,http://purl.obolibrary.org/obo/OHD_0000002,0.38807690613550505,OHD
OHX04TC,OHXDEN_C,Tooth Count: #4,missing tooth 4 finding,http://purl.obolibrary.org/obo/OHD_0000062,0.37192593905041393,OHD
OHX05CSC,OHXDEN_C,Coronal Caries: Surface condition #5,restored tooth surface,http://purl.obolibrary.org/obo/OHD_0000208,0.4183159126339746,OHD
OHX05CTC,OHXDEN_C,Coronal Caries: Tooth count #5,dental caries,http://purl.obolibrary.org/obo/OHD_0000031,0.4585906003774202,OHD
OHX05DI,OHXDEN_C,Fluorosis DI: #5,prosthesis,http://purl.obolibrary.org/obo/OHD_0000301,0.322228663121056,OHD
OHX05SE,OHXDEN_C,Dental Sealants: #5,dental procedure,http://purl.obolibrary.org/obo/OHD_0000002,0.38843112312548495,OHD
OHX05TC,OHXDEN_C,Tooth Count: #5,missing tooth 5 finding,http://purl.obolibrary.org/obo/OHD_0000063,0.3707503227815824,OHD
OHX06CSC,OHXDEN_C,Coronal Caries: Surface condition #6,restored tooth surface,http://purl.obolibrary.org/obo/OHD_0000208,0.41611570653193064,OHD
OHX06CTC,OHXDEN_C,Coronal Caries: Tooth count #6,dental caries,http://purl.obolibrary.org/obo/OHD_0000031,0.45530885348768857,OHD
OHX06DI,OHXDEN_C,Fluorosis DI: #6,prosthesis,http://purl.obolibrary.org/obo/OHD_0000301,0.3188698817173435,OHD
OHX06TC,OHXDEN_C,Tooth Count: #6,missing tooth 6 finding,http://purl.obolibrary.org/obo/OHD_0000064,0.3828538578120369,OHD
OHX07CSC,OHXDEN_C,Coronal Caries: Surface condition #7,restored tooth surface,http://purl.obolibrary.org/obo/OHD_0000208,0.4140588333413787,OHD
OHX07CTC,OHXDEN_C,Coronal Caries: Tooth count #7,dental caries,http://purl.obolibrary.org/obo/OHD_0000031,0.4522577690141553,OHD
OHX07DI,OHXDEN_C,Fluorosis DI: #7,prosthesis,http://purl.obolibrary.org/obo/OHD_0000301,0.3157766406959091,OHD
OHX07SE,OHXDEN_C,Dental Sealants: #7,dental procedure,http://purl.obolibrary.org/obo/OHD_0000002,0.3808811625022197,OHD
OHX07TC,OHXDEN_C,Tooth Count: #7,missing tooth 7 finding,http://purl.obolibrary.org/obo/OHD_0000066,0.3924850968263657,OHD
OHX07TR,OHXDEN_C,Incisor Trauma: #7,prosthetic left upper central secondary incisor tooth,http://purl.obolibrary.org/obo/OHD_0000325,0.3769068706701065,OHD
OHX08CSC,OHXDEN_C,Coronal Caries: Surface condition #8,restored tooth surface,http://purl.obolibrary.org/obo/OHD_0000208,0.4132867505876999,OHD
OHX08CTC,OHXDEN_C,Coronal Caries: Tooth count #8,dental caries,http://purl.obolibrary.org/obo/OHD_0000031,0.4511166534843959,OHD
OHX08DI,OHXDEN_C,Fluorosis DI: #8,prosthesis,http://purl.obolibrary.org/obo/OHD_0000301,0.31462692383156876,OHD
OHX08TC,OHXDEN_C,Tooth Count: #8,missing tooth 8 finding,http://purl.obolibrary.org/obo/OHD_0000067,0.39576330673974464,OHD
OHX08TR,OHXDEN_C,Incisor Trauma: #8,prosthetic left upper central secondary incisor tooth,http://purl.obolibrary.org/obo/OHD_0000325,0.37602498776237764,OHD
OHX09CSC,OHXDEN_C,Coronal Caries: Surface condition #9,restored tooth surface,http://purl.obolibrary.org/obo/OHD_0000208,0.4137388519311677,OHD
OHX09CTC,OHXDEN_C,Coronal Caries: Tooth count #9,dental caries,http://purl.obolibrary.org/obo/OHD_0000031,0.45178457176298686,OHD
OHX09DI,OHXDEN_C,Fluorosis DI: #9,prosthesis,http://purl.obolibrary.org/obo/OHD_0000301,0.3152994072075881,OHD
OHX09TC,OHXDEN_C,Tooth Count: #9,missing tooth 9 finding,http://purl.obolibrary.org/obo/OHD_0000068,0.39386400115513875,OHD
OHX09TR,OHXDEN_C,Incisor Trauma: #9,prosthetic left upper central secondary incisor tooth,http://purl.obolibrary.org/obo/OHD_0000325,0.3765412309004626,OHD
OHX10CSC,OHXDEN_C,Coronal Caries: Surface condition #10,restored tooth surface,http://purl.obolibrary.org/obo/OHD_0000208,0.4070078142568829,OHD
OHX10CTC,OHXDEN_C,Coronal Caries: Tooth count #10,dental caries,http://purl.obolibrary.org/obo/OHD_0000031,0.4419192348703601,OHD
OHX10DI,OHXDEN_C,Fluorosis DI: #10,prosthesis,http://purl.obolibrary.org/obo/OHD_0000301,0.30549817588012773,OHD
OHX10SE,OHXDEN_C,Dental Sealants: #10,dental procedure,http://purl.obolibrary.org/obo/OHD_0000002,0.36882598455374893,OHD
OHX10TC,OHXDEN_C,Tooth Count: #10,missing tooth 10 finding,http://purl.obolibrary.org/obo/OHD_0000069,0.46556240261446225,OHD
OHX10TR,OHXDEN_C,Incisor Trauma: #10,prosthetic left upper central secondary incisor tooth,http://purl.obolibrary.org/obo/OHD_0000325,0.3688993167107907,OHD
OHX11CSC,OHXDEN_C,Coronal Caries: Surface condition #11,restored tooth surface,http://purl.obolibrary.org/obo/OHD_0000208,0.40515010428507375,OHD
OHX11CTC,OHXDEN_C,Coronal Caries: Tooth Count #11,dental caries,http://purl.obolibrary.org/obo/OHD_0000031,0.4392257232349405,OHD
OHX11DI,OHXDEN_C,Fluorosis DI: #11,prosthesis,http://purl.obolibrary.org/obo/OHD_0000301,0.3028698572410969,OHD
OHX11TC,OHXDEN_C,Tooth Count: #11,missing tooth 11 finding,http://purl.obolibrary.org/obo/OHD_0000070,0.4734310455699656,OHD
OHX12CSC,OHXDEN_C,Coronal Caries: Surface condition #12,restored tooth surface,http://purl.obolibrary.org/obo/OHD_0000208,0.41135803477544364,OHD
OHX12CTC,OHXDEN_C,Coronal Caries: Tooth count #12,dental caries,http://purl.obolibrary.org/obo/OHD_0000031,0.4482758885105247,OHD
OHX12DI,OHXDEN_C,Fluorosis DI: #12,prosthesis,http://purl.obolibrary.org/obo/OHD_0000301,0.31178140832320345,OHD
OHX12SE,OHXDEN_C,Dental Sealants: #12,dental procedure,http://purl.obolibrary.org/obo/OHD_0000002,0.3761993181290888,OHD
OHX12TC,OHXDEN_C,Tooth Count: #12,missing tooth 12 finding,http://purl.obolibrary.org/obo/OHD_0000071,0.4452583018564804,OHD
OHX13CSC,OHXDEN_C,Coronal Caries: Surface condition #13,restored tooth surface,http://purl.obolibrary.org/obo/OHD_0000208,0.40457505979932734,OHD
OHX13CTC,OHXDEN_C,Coronal Caries: Tooth count #13,dental caries,http://purl.obolibrary.org/obo/OHD_0000031,0.43839447276714416,OHD
OHX13DI,OHXDEN_C,Fluorosis DI: #13,prosthesis,http://purl.obolibrary.org/obo/OHD_0000301,0.30206272921569294,OHD
OHX13SE,OHXDEN_C,Dental Sealants: #13,dental procedure,http://purl.obolibrary.org/obo/OHD_0000002,0.36478926314691,OHD
OHX13TC,OHXDEN_C,Tooth Count: #13,missing tooth 13 finding,http://purl.obolibrary.org/obo/OHD_0000072,0.4756908292600111,OHD
OHX14CSC,OHXDEN_C,Coronal Caries: Surface condition #14,restored tooth surface,http://purl.obolibrary.org/obo/OHD_0000208,0.4050799294649205,OHD
OHX14CTC,OHXDEN_C,Coronal Caries: Tooth count #14,dental caries,http://purl.obolibrary.org/obo/OHD_0000031,0.43912421929387624,OHD
OHX14DI,OHXDEN_C,Fluorosis DI: #14,prosthesis,http://purl.obolibrary.org/obo/OHD_0000301,0.3027711983422764,OHD
OHX14SE,OHXDEN_C,Dental Sealants: #14,dental procedure,http://purl.obolibrary.org/obo/OHD_0000002,0.36562203014241834,OHD
OHX14TC,OHXDEN_C,Tooth Count: #14,missing tooth 14 finding,http://purl.obolibrary.org/obo/OHD_0000028,0.4739056649495251,OHD
OHX15CSC,OHXDEN_C,Coronal Caries: Surface condition #15,restored tooth surface,http://purl.obolibrary.org/obo/OHD_0000208,0.40322714239713653,OHD
OHX15CTC,OHXDEN_C,Coronal Caries: Tooth count #15,dental caries,http://purl.obolibrary.org/obo/OHD_0000031,0.43645061863009105,OHD
OHX15DI,OHXDEN_C,Fluorosis DI: #15,prosthesis,http://purl.obolibrary.org/obo/OHD_0000301,0.3001825621717004,OHD
OHX15SE,OHXDEN_C,Dental Sealants: #15,dental procedure,http://purl.obolibrary.org/obo/OHD_0000002,0.362578474388344,OHD
OHX15TC,OHXDEN_C,Tooth Count: #15,missing tooth 15 finding,http://purl.obolibrary.org/obo/OHD_0000073,0.4806859427698079,OHD
OHX16TC,OHXDEN_C,Tooth Count: #16,missing tooth 16 finding,http://purl.obolibrary.org/obo/OHD_0000074,0.4797415759663496,OHD
OHX17TC,OHXDEN_C,Tooth Count: #17,missing tooth 17 finding,http://purl.obolibrary.org/obo/OHD_0000075,0.4890316520186475,OHD
OHX18CSC,OHXDEN_C,Coronal Caries: Surface condition #18,restored tooth surface,http://purl.obolibrary.org/obo/OHD_0000208,0.4078091201884403,OHD
OHX18CTC,OHXDEN_C,Coronal Caries: Tooth count #18,dental caries,http://purl.obolibrary.org/obo/OHD_0000031,0.4430849095090228,OHD
OHX18DI,OHXDEN_C,Fluorosis DI: #18,prosthesis,http://purl.obolibrary.org/obo/OHD_0000301,0.3066418503370891,OHD
OHX18SE,OHXDEN_C,Dental Sealants: #18,dental procedure,http://purl.obolibrary.org/obo/OHD_0000002,0.37016900691607985,OHD
OHX18TC,OHXDEN_C,Tooth Count: #18,missing tooth 18 finding,http://purl.obolibrary.org/obo/OHD_0000076,0.46256825046784367,OHD
OHX19CSC,OHXDEN_C,Coronal Caries: Surface condition #19,restored tooth surface,http://purl.obolibrary.org/obo/OHD_0000208,0.40286146400460615,OHD
OHX19CTC,OHXDEN_C,Coronal Caries: Tooth count #19,dental caries,http://purl.obolibrary.org/obo/OHD_0000031,0.43592437806104245,OHD
OHX19SE,OHXDEN_C,Dental Sealants: #19,dental procedure,http://purl.obolibrary.org/obo/OHD_0000002,0.36198182840791276,OHD
OHX19TC,OHXDEN_C,Tooth Count: #19,missing tooth 19 finding,http://purl.obolibrary.org/obo/OHD_0000077,0.48211423529877007,OHD
OHX20CSC,OHXDEN_C,Coronal Caries: Surface condition #20,restored tooth surface,http://purl.obolibrary.org/obo/OHD_0000208,0.4063103089072392,OHD
