Variable,Table,Source Term,Mapped Term Label,Mapped Term IRI,Mapping Score,Ontology
OHAEXSTS,OHXREF_C,Overall Oral Health Exam Status,Health Status,http://purl.obolibrary.org/obo/NCIT_C16669,0.6625863366435323,NCIT
OHAEXSTS,OHXREF_C,Overall Oral Health Exam Status,Oral health education (procedure),http://snomed.info/id/243085009,0.4322781787973982,SNOMED
OHAEXSTS,OHXREF_C,Overall Oral Health Exam Status,mental health,http://www.ebi.ac.uk/efo/EFO_0003935,0.3733595680186251,EFO
OHAEXSTS,OHXREF_C,Overall Oral Health Exam Status,dental exam,http://purl.obolibrary.org/obo/OHD_0000019,0.3505457615268144,OHD
OHAPOS,OHXREF_C,Was participant exam position recumbent,Recumbent Position,http://purl.obolibrary.org/obo/NCIT_C77532,0.6660186732998112,NCIT
OHAPOS,OHXREF_C,Was participant exam position recumbent,Recumbent body position (finding),http://snomed.info/id/102538003,0.5662354386940761,SNOMED
OHAPOS,OHXREF_C,Was participant exam position recumbent,health study participation,http://www.ebi.ac.uk/efo/EFO_0010130,0.3430377489527248,EFO
OHAPOS,OHXREF_C,Was participant exam position recumbent,exposure to antiparasitic agent,http://purl.obolibrary.org/obo/ECTO_9001712,0.3290945901085654,ECTO
OHAPOS,OHXREF_C,Was participant exam position recumbent,dental exam,http://purl.obolibrary.org/obo/OHD_0000019,0.3220416492856175,OHD
OHARCMT,OHXREF_C,Other Referral Comments,Referral,http://purl.obolibrary.org/obo/NCIT_C52582,0.7374809778040029,NCIT
OHARCMT,OHXREF_C,Other Referral Comments,Referral delay - lost referral (finding),http://snomed.info/id/397591000,0.6048234578054372,SNOMED
OHARCMT,OHXREF_C,Other Referral Comments,berry (whole),http://purl.obolibrary.org/obo/FOODON_00003521,0.3360418542401056,FOODON
OHARCMT,OHXREF_C,Other Referral Comments,reference design,http://www.ebi.ac.uk/efo/EFO_0001775,0.3106323746188916,EFO
OHAREC,OHXREF_C,Overall recommendation for care,Recommendation,http://purl.obolibrary.org/obo/NCIT_C25197,0.7458781386853685,NCIT
OHAREC,OHXREF_C,Overall recommendation for care,Recommendation to carer (procedure),http://snomed.info/id/406216001,0.6585728696675942,SNOMED
OHAREC,OHXREF_C,Overall recommendation for care,overall survival,http://www.ebi.ac.uk/efo/EFO_0000638,0.3385823780995425,EFO
OHARNF,OHXREF_C,No significant needs,Significant,http://purl.obolibrary.org/obo/NCIT_C41130,0.7886636705067758,NCIT
OHARNF,OHXREF_C,No significant needs,Significant (qualifier value),http://snomed.info/id/386134007,0.6044387415961714,SNOMED
OHARNF,OHXREF_C,No significant needs,hidradenitis suppurativa,http://www.ebi.ac.uk/efo/EFO_1000710,0.4097555626582009,EFO
OHAROCCI,OHXREF_C,Assessment of soft tissue lesion,Soft tissue lesion (disorder),http://snomed.info/id/239953001,0.6853536948671844,SNOMED
OHAROCCI,OHXREF_C,Assessment of soft tissue lesion,Physical Examination,http://purl.obolibrary.org/obo/NCIT_C20989,0.6413319676902327,NCIT
OHAROCCI,OHXREF_C,Assessment of soft tissue lesion,Soft Tissue Neoplasm,http://www.ebi.ac.uk/efo/EFO_1000541,0.5854530461057806,EFO
OHAROCCI,OHXREF_C,Assessment of soft tissue lesion,soft tissue exam,http://purl.obolibrary.org/obo/OHD_0000032,0.524262346299612,OHD
OHAROCCI,OHXREF_C,Assessment of soft tissue lesion,animal tissue,http://purl.obolibrary.org/obo/FOODON_00002671,0.3892770167289182,FOODON
OHAROCDE,OHXREF_C,Denture/Partial Denture/plates,partial denture,http://purl.obolibrary.org/obo/OHD_0000310,0.8386326434252043,OHD
OHAROCDE,OHXREF_C,Denture/Partial Denture/plates,Denture,http://purl.obolibrary.org/obo/NCIT_C63720,0.8294763560989031,NCIT
OHAROCDE,OHXREF_C,Denture/Partial Denture/plates,dentures,http://www.ebi.ac.uk/efo/EFO_0010078,0.7328816083970875,EFO
OHAROCDE,OHXREF_C,Denture/Partial Denture/plates,Fit partial denture (procedure),http://snomed.info/id/234808001,0.6935193802775206,SNOMED
OHAROCDE,OHXREF_C,Denture/Partial Denture/plates,century plant,http://purl.obolibrary.org/obo/FOODON_03412002,0.4671002220150502,FOODON
OHAROCDE,OHXREF_C,Denture/Partial Denture/plates,exposure to ANTU,http://purl.obolibrary.org/obo/ECTO_9001548,0.3510938577663526,ECTO
OHAROCDT,OHXREF_C,Untreated Caries / Restorative needs,Need,http://purl.obolibrary.org/obo/NCIT_C41204,0.5175782655331321,NCIT
OHAROCDT,OHXREF_C,Untreated Caries / Restorative needs,Under care of restorative dentist (finding),http://snomed.info/id/305533004,0.418135217209083,SNOMED
OHAROCDT,OHXREF_C,Untreated Caries / Restorative needs,dental caries,http://www.ebi.ac.uk/efo/EFO_0003819,0.3765133779983457,EFO
OHAROCDT,OHXREF_C,Untreated Caries / Restorative needs,dental caries,http://purl.obolibrary.org/obo/OHD_0000031,0.3417692581010124,OHD
OHAROCDT,OHXREF_C,Untreated Caries / Restorative needs,"paper container, untreated",http://purl.obolibrary.org/obo/FOODON_03490334,0.311468063842838,FOODON
OHAROCGP,OHXREF_C,Periodontal needs,Periodontal Route of Administration,http://purl.obolibrary.org/obo/NCIT_C38294,0.7663813233637594,NCIT
OHAROCGP,OHXREF_C,Periodontal needs,periodontal measurement,http://www.ebi.ac.uk/efo/EFO_0007780,0.664158937249414,EFO
OHAROCGP,OHXREF_C,Periodontal needs,Periodontal operation (procedure),http://snomed.info/id/234677007,0.5939868904307872,SNOMED
OHAROCGP,OHXREF_C,Periodontal needs,periodontist,http://purl.obolibrary.org/obo/OHD_0000187,0.5925853729990198,OHD
OHAROCGP,OHXREF_C,Periodontal needs,monodont,http://purl.obolibrary.org/obo/FOODON_03414635,0.3547594923671394,FOODON
OHAROCOH,OHXREF_C,Gingival / OHI needs,Gingiva,http://purl.obolibrary.org/obo/NCIT_C32677,0.6291954551397896,NCIT
OHAROCOH,OHXREF_C,Gingival / OHI needs,gingival disease,http://www.ebi.ac.uk/efo/EFO_0009670,0.5564346176529886,EFO
OHAROCOH,OHXREF_C,Gingival / OHI needs,Gingival cleft (disorder),http://snomed.info/id/109622003,0.4587812688407406,SNOMED
OHAROTH,OHXREF_C,Some other finding,sign or symptom,http://www.ebi.ac.uk/efo/EFO_0003765,0.7651473530437453,EFO
OHAROTH,OHXREF_C,Some other finding,Finding,http://purl.obolibrary.org/obo/NCIT_C3367,0.7627421518238365,NCIT
