subject,predicate,value
BFO:0000179,rdfs:label,BFO OWL specification label
BFO:0000180,rdfs:label,BFO CLIF specification label
DRON:00010000,rdfs:label,has_RxCUI
GENEPIO:0000006,rdfs:label,user interface label
GENEPIO:0000162,rdfs:label,user interface definition
GENEPIO:0001763,rdfs:label,user interface feature
IAO:0000111,rdfs:label,editor preferred term~editor preferred label
IAO:0000111,rdfs:label,editor preferred term
IAO:0000111,rdfs:label,editor preferred term
IAO:0000111,rdfs:label,editor preferred label
IAO:0000111,rdfs:label,editor preferred label
IAO:0000112,rdfs:label,example of usage
IAO:0000114,rdfs:label,has curation status
IAO:0000114,rdfs:label,has curation status
IAO:0000115,rdfs:label,textual definition
IAO:0000115,rdfs:label,definition
IAO:0000115,rdfs:label,definition
IAO:0000116,rdfs:label,editor note
IAO:0000117,rdfs:label,term editor
IAO:0000118,rdfs:label,alternative term
IAO:0000118,rdfs:label,alternative term
IAO:0000119,rdfs:label,definition_source
IAO:0000119,rdfs:label,definition source
IAO:0000119,rdfs:label,definition source
IAO:0000231,rdfs:label,has obsolescence reason
IAO:0000232,rdfs:label,curator note
IAO:0000412,rdfs:label,imported from
IAO:0000600,rdfs:label,elucidation
IAO:0000601,rdfs:label,has associated axiom(nl)
IAO:0000602,rdfs:label,has associated axiom(fol)
IAO:0010000,rdfs:label,has axiom label
IAO:0100001,rdfs:label,term replaced by
IAO:0100001,rdfs:label,term replaced by
OBI:0001886,rdfs:label,NIAID GSCID-BRC alternative term
RO:0001900,rdfs:label,temporal interpretation
oio:hasAlternativeId,rdfs:label,has_alternative_id
oio:hasBroadSynonym,rdfs:label,has_broad_synonym
oio:hasBroadSynonym,rdfs:label,has broad synonym
oio:hasDbXref,rdfs:label,database_cross_reference
oio:hasDbXref,rdfs:label,database cross reference
oio:hasExactSynonym,rdfs:label,has_exact_synonym
oio:hasNarrowSynonym,rdfs:label,has_narrow_synonym
oio:hasNarrowSynonym,rdfs:label,has narrow synonym
oio:hasOBONamespace,rdfs:label,has_obo_namespace
oio:hasRelatedSynonym,rdfs:label,has_related_synonym
oio:hasSynonym,rdfs:label,has synonym
oio:inSubset,rdfs:label,in_subset
rdfs:label,rdfs:label,label
rdfs:label,rdfs:label,label
BFO:0000050,rdfs:label,part_of
BFO:0000050,rdfs:label,part of
BFO:0000050,rdfs:label,part of
BFO:0000051,rdfs:label,has_part
BFO:0000051,rdfs:label,has part
BFO:0000051,rdfs:label,has part
BFO:0000054,rdfs:label,realized in
BFO:0000055,rdfs:label,realizes
BFO:0000062,rdfs:label,preceded_by
BFO:0000062,rdfs:label,preceded by
FOODON:00001301,rdfs:label,has food substance analog
FOODON:00001303,rdfs:label,obsolete - has taxonomic identifier
FOODON:00001563,rdfs:label,has defining ingredient
FOODON:00002420,rdfs:label,has ingredient
HANCESTRO:0308,rdfs:label,hasCountryOfOrigin
IAO:0000039,rdfs:label,has measurement unit label
IAO:0000136,rdfs:label,is about
OBI:0000293,rdfs:label,has_specified_input
OBI:0000295,rdfs:label,is_specified_input_of
OBI:0000299,rdfs:label,has_specified_output
OBI:0000312,rdfs:label,is_specified_output_of
OBI:0001927,rdfs:label,specifies value of
OBI:0001927,rdfs:label,specifies value of
RO:0000052,rdfs:label,inheres in
RO:0000052,rdfs:label,characteristic of
RO:0000053,rdfs:label,has quality
RO:0000053,rdfs:label,has characteristic
RO:0000053,rdfs:label,bearer of
RO:0000056,rdfs:label,participates_in
RO:0000056,rdfs:label,participates in
RO:0000057,rdfs:label,has_participant
RO:0000057,rdfs:label,has participant
RO:0000079,rdfs:label,function of
RO:0000080,rdfs:label,quality of
RO:0000081,rdfs:label,role of
RO:0000085,rdfs:label,has function
RO:0000086,rdfs:label,has quality
RO:0000087,rdfs:label,has role
RO:0000091,rdfs:label,has disposition
RO:0000092,rdfs:label,disposition of
RO:0001000,rdfs:label,derives from
RO:0001001,rdfs:label,derives into
RO:0001020,rdfs:label,is allergic trigger for
RO:0001022,rdfs:label,has allergic trigger
RO:0001025,rdfs:label,located_in
RO:0001025,rdfs:label,located in
RO:0002160,rdfs:label,only_in_taxon
RO:0002160,rdfs:label,only in taxon
RO:0002162,rdfs:label,in taxon
RO:0002170,rdfs:label,connected to
RO:0002180,rdfs:label,has component
RO:0002202,rdfs:label,develops_from
RO:0002202,rdfs:label,develops from
RO:0002202,rdfs:label,develops from
RO:0002215,rdfs:label,capable of
RO:0002219,rdfs:label,surrounded by
RO:0002220,rdfs:label,adjacent to
RO:0002221,rdfs:label,surrounds
RO:0002224,rdfs:label,starts with
RO:0002230,rdfs:label,ends with
RO:0002233,rdfs:label,has input
RO:0002234,rdfs:label,has output
RO:0002350,rdfs:label,member of
RO:0002351,rdfs:label,has member
RO:0002352,rdfs:label,input of
RO:0002353,rdfs:label,output of
RO:0002354,rdfs:label,formed as result of
RO:0002371,rdfs:label,attached to
RO:0002473,rdfs:label,composed primarily of
RO:0002608,rdfs:label,process has causal agent
RO:0003001,rdfs:label,produced by
RO:0009001,rdfs:label,has substance added
RO:0009002,rdfs:label,has substance removed
RO:0009003,rdfs:label,immersed in
RO:0009004,rdfs:label,has consumer
RO:0009005,rdfs:label,has primary substance added
RO:HOM0000000,rdfs:label,in similarity relationship with
STATO:0000102,rdfs:label,executes
COB:0000511,rdfs:label,has quantity
evs.ncit:C103180,rdfs:label,data standard
AGRO:00000025,rdfs:label,plant harvesting process
AGRO:00000322,rdfs:label,treatment
AGRO:00000360,rdfs:label,experimental site
AGRO:00000363,rdfs:label,greenhouse
AGRO:00002071,rdfs:label,agricultural process
AGRO:01000020,rdfs:label,crop cultivation process
APOLLO_SV:00000796,rdfs:label,dataset creating
BFO:0000001,rdfs:label,entity
BFO:0000001,rdfs:label,entity
BFO:0000002,rdfs:label,continuant
BFO:0000002,rdfs:label,continuant
BFO:0000003,rdfs:label,occurrent
BFO:0000003,rdfs:label,occurrent
BFO:0000004,rdfs:label,independent continuant
BFO:0000004,rdfs:label,independent continuant
BFO:0000006,rdfs:label,spatial region
BFO:0000008,rdfs:label,temporal region
BFO:0000009,rdfs:label,two-dimensional spatial region
BFO:0000011,rdfs:label,spatiotemporal region
BFO:0000015,rdfs:label,process
BFO:0000015,rdfs:label,process
BFO:0000016,rdfs:label,disposition
BFO:0000017,rdfs:label,realizable entity
BFO:0000018,rdfs:label,zero-dimensional spatial region
BFO:0000019,rdfs:label,quality
BFO:0000020,rdfs:label,specifically dependent continuant
BFO:0000023,rdfs:label,role
BFO:0000024,rdfs:label,fiat object part
BFO:0000024,rdfs:label,fiat object
BFO:0000026,rdfs:label,one-dimensional spatial region
BFO:0000027,rdfs:label,object aggregate
BFO:0000028,rdfs:label,three-dimensional spatial region
BFO:0000029,rdfs:label,site
BFO:0000030,rdfs:label,object
BFO:0000031,rdfs:label,generically dependent continuant
BFO:0000034,rdfs:label,function
BFO:0000035,rdfs:label,process boundary
BFO:0000038,rdfs:label,one-dimensional temporal region
BFO:0000040,rdfs:label,material entity
BFO:0000040,rdfs:label,material entity
BFO:0000140,rdfs:label,continuant fiat boundary
BFO:0000141,rdfs:label,immaterial entity
BFO:0000142,rdfs:label,one-dimensional continuant fiat boundary
BFO:0000144,rdfs:label,process profile
BFO:0000145,rdfs:label,relational quality
BFO:0000146,rdfs:label,two-dimensional continuant fiat boundary
BFO:0000147,rdfs:label,zero-dimensional continuant fiat boundary
BFO:0000148,rdfs:label,zero-dimensional temporal region
BFO:0000182,rdfs:label,history
BTO:0000058,rdfs:label,alimentary canal
BTO:0000262,rdfs:label,clove
BTO:0001217,rdfs:label,scape
CDNO:0000001,rdfs:label,dietary chemical component
CDNO:0000002,rdfs:label,dry plant matter
CDNO:0000003,rdfs:label,available carbohydrate
CDNO:0000004,rdfs:label,free sugar
CDNO:0000005,rdfs:label,dietary fibre
CDNO:0000006,rdfs:label,soluble dietary fibre
