"DR1CCMTX.Code.or.Value","DR1CCMTX.Value.Description","DR1CCMTX.Count","DR1CCMTX.Cumulative","DR1CCMTX.Skip.to.Item"
"0","Non-combination food",65894,65894,NA
"1","Beverage w/ additions",9623,75517,NA
"2","Cereal w/ additions",4127,79644,NA
"3","Bread/baked products w/ additions",4538,84182,NA
"4","Salad",4626,88808,NA
"5","Sandwiches",9511,98319,NA
"6","Soup",827,99146,NA
"7","Frozen meals",35,99181,NA
"8","Ice cream/frozen yogurt w/ additions",326,99507,NA
"9","Dried beans and vegetable w/ additions",3191,102698,NA
"10","Fruit w/ additions",672,103370,NA
"11","Tortilla products",1909,105279,NA
"12","Meat, poultry, fish",2781,108060,NA
"13","Lunchables®",210,108270,NA
"14","Chips w/ additions",510,108780,NA
"90","Other mixtures",3903,112683,NA
".","Missing",0,112683,NA
