"DR2FS.Code.or.Value","DR2FS.Value.Description","DR2FS.Count","DR2FS.Cumulative","DR2FS.Skip.to.Item"
"1","Store - grocery/supermarket",63865,63865,NA
"2","Restaurant with waiter/waitress",4618,68483,NA
"3","Restaurant fast food/pizza",7313,75796,NA
"4","Bar/tavern/lounge",74,75870,NA
"5","Restaurant no additional information",14,75884,NA
"6","Cafeteria NOT in a K-12 school",859,76743,NA
"7","Cafeteria in a K-12 school",2173,78916,NA
"8","Child/Adult care center",282,79198,NA
"9","Child/Adult home care",47,79245,NA
"10","Soup kitchen/shelter/food pantry",50,79295,NA
"11","Meals on Wheels",47,79342,NA
"12","Community food program - other",218,79560,NA
"13","Community program no additional information",0,79560,NA
"14","Vending machine",249,79809,NA
"15","Common coffee pot or snack tray",322,80131,NA
"16","From someone else/gift",2613,82744,NA
"17","Mail order purchase",300,83044,NA
"18","Residential dining facility",76,83120,NA
"19","Grown or caught by you or someone you know",514,83634,NA
"20","Fish caught by you or someone you know",10,83644,NA
"24","Sport, recreation, or entertainment facility",194,83838,NA
"25","Street vendor, vending truck",189,84027,NA
"26","Fundraiser sales",31,84058,NA
"27","Store - convenience type",2407,86465,NA
"28","Store - no additional info",15,86480,NA
"91","Other, specify",0,86480,NA
"99","Don't know",75,86555,NA
".","Missing",6945,93500,NA
