"DRD040.Code.or.Value","DRD040.Value.Description","DRD040.Count","DRD040.Cumulative","DRD040.Skip.to.Item"
"1","Boat",17,17,NA
"2","Self serve buffet",432,449,NA
"3","Cafeteria",457,906,NA
"4","Car",1961,2867,NA
"5","Community feeding program",114,2981,NA
"6","Deli",104,3085,NA
"7","Fast food",3337,6422,NA
"8","Friend's house",2363,8785,NA
"9","Home",85987,94772,NA
"11","Plane",26,94798,NA
"12","Restaurant",8081,102879,NA
"13","School",6901,109780,NA
"14","Someone else's house",3622,113402,NA
"15","Store",495,113897,NA
"16","Take out",419,114316,NA
"17","Work",8425,122741,NA
"18","Day camp",68,122809,NA
"19","Day care",863,123672,NA
"90","Other",4168,127840,NA
".","Missing",0,127840,NA
