"DRDCCMTZ.Code.or.Value","DRDCCMTZ.Value.Description","DRDCCMTZ.Count","DRDCCMTZ.Cumulative","DRDCCMTZ.Skip.to.Item"
"0","Non-combination food",71938,71938,NA
"1","Beverage w/ adds",9964,81902,NA
"2","Cereal w/ adds",7873,89775,NA
"3","Bread/baked products w/ adds",7871,97646,NA
"4","Salad",5889,103535,NA
"5","Sandwiches",17733,121268,NA
"6","Soup",933,122201,NA
"7","Frozen meals",148,122349,NA
"8","Ice cream/frozen yogurt w/ additions",635,122984,NA
"9","Dried beans and vegetable w/ adds",5725,128709,NA
"10","Fruit w/ adds",699,129408,NA
"11","Tortilla Products",4194,133602,NA
"12","Meat, poultry, fish",3683,137285,NA
"13","Lunchables",153,137438,NA
"90","Other mixtures",5566,143004,NA
".","Missing",0,143004,NA
