"FFQ0009B.Code.or.Value","FFQ0009B.Value.Description","FFQ0009B.Count","FFQ0009B.Cumulative","FFQ0009B.Skip.to.Item"
1,"never",134,134,NA
2,"1 time per month or less",677,811,NA
3,"2-3 times per month",978,1789,NA
4,"1-2 times per week",1001,2790,NA
5,"3-4 times per week",736,3526,NA
6,"5-6 times per week",349,3875,NA
7,"1 time per day",642,4517,NA
8,"2-3 times per day",716,5233,NA
9,"4-5 times per day",209,5442,NA
10,"6 or more times per day",84,5526,NA
88,"Blank",462,5988,NA
99,"Error",25,6013,NA
