"FFQ0013A.Code.or.Value","FFQ0013A.Value.Description","FFQ0013A.Count","FFQ0013A.Cumulative","FFQ0013A.Skip.to.Item"
1,"never",216,216,NA
2,"1-6 times per winter",823,1039,NA
3,"7-11 times per winter",397,1436,NA
4,"1 time per month",199,1635,NA
5,"2-3 times per month",638,2273,NA
6,"1 time per week",373,2646,NA
7,"2 times per week",612,3258,NA
8,"3-4 times per week",637,3895,NA
9,"5-6 times per week",211,4106,NA
10,"1 time per day",244,4350,NA
11,"2 or more times per day",48,4398,NA
88,"Blank",1593,5991,NA
99,"Error",22,6013,NA
