"FFQ0014.Code.or.Value","FFQ0014.Value.Description","FFQ0014.Count","FFQ0014.Cumulative","FFQ0014.Skip.to.Item"
1,"never",630,630,"FFQ0015"
2,"1-6 times per year",451,1081,""
3,"7-11 times per year",260,1341,""
4,"1 time per month",225,1566,""
5,"2-3 times per month",552,2118,""
6,"1 time per week",402,2520,""
7,"2 times per week",835,3355,""
8,"3-4 times per week",1231,4586,""
9,"5-6 times per week",578,5164,""
10,"1 time per day",628,5792,""
11,"2 or more times per day",134,5926,""
88,"Blank",69,5995,""
99,"Error",18,6013,""
