"Data.File.Name","Data.File.Description"
"DRXIFF","Dietary Interview - Individual Foods"
"DRXTOT","Dietary Interview - Total Nutrient Intakes"
"DSQFILE1","Dietary Supplement Use 30-Day - File 1, Supplement Counts"
"DSQFILE2","Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements"
"DRXTOT_B","Dietary Interview - Total Nutrient Intakes"
"DRXIFF_B","Dietary Interview - Individual Foods"
"DSQ1_B","Dietary Supplement Use 30-Day - File 1, Supplement Counts"
"DSQ2_B","Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements"
"FFQRAW_C","Food Frequency Questionnaire - Raw Questionnaire Responses"
"FFQDC_C","Food Frequency Questionnaire - Output from DietCalc Software"
"DRXFCD_C","Dietary Interview Technical Support File - Food Codes"
"DR1TOT_C","Dietary Interview - Total Nutrient Intakes, First Day"
"DR2TOT_C","Dietary Interview - Total Nutrient Intakes, Second Day"
"DR2IFF_C","Dietary Interview - Individual Foods, Second Day"
"DR1IFF_C","Dietary Interview - Individual Foods, First Day"
"DSQ1_C","Dietary Supplement Use 30-Day - File 1, Supplement Counts"
"DSQ2_C","Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements"
"DRXMCD_C","Dietary Interview Technical Support File - Modification Codes"
"FFQRAW_D","Food Frequency Questionnaire - Raw Questionnaire Responses"
"FFQDC_D","Food Frequency Questionnaire - Output from DietCalc Software"
"DSQ1_D","Dietary Supplement Use 30-Day - File 1, Supplement Counts"
"DSQ2_D","Dietary Supplement Use 30-Day - File 2, Participant's Use of Supplements"
"DR1IFF_D","Dietary Interview - Individual Foods, First Day"
"DR1TOT_D","Dietary Interview - Total Nutrient Intakes, First Day"
"DR2TOT_D","Dietary Interview - Total Nutrient Intakes, Second Day"
"DRXFCD_D","Dietary Interview Technical Support File - Food Codes"
"DRXMCD_D","Dietary Interview Technical Support File - Modification Codes"
"DR2IFF_D","Dietary Interview - Individual Foods, Second Day"
"DS1IDS_E","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
"DS2IDS_E","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
"DSQIDS_E","Dietary Supplement Use 30 Day - Individual Dietary Supplements"
"DSQTOT_E","Dietary Supplement Use 30-Day - Total Dietary Supplements"
"DS1TOT_E","Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
"DS2TOT_E","Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
"DR1IFF_E","Dietary Interview - Individual Foods, First Day"
"DR2IFF_E","Dietary Interview - Individual Foods, Second Day"
"DR1TOT_E","Dietary Interview - Total Nutrient Intakes, First Day"
"DR2TOT_E","Dietary Interview - Total Nutrient Intakes, Second Day"
"DRXMCD_E","Dietary Interview Technical Support File - Modification Codes"
"DRXFCD_E","Dietary Interview Technical Support File - Food Codes"
"DS2TOT_F","Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
"DTQ_F","Dietary Screener Questionnaire"
"DS1IDS_F","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
"DS2IDS_F","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
"DSQIDS_F","Dietary Supplement Use 30 Day - Individual Dietary Supplements"
"DSQTOT_F","Dietary Supplement Use 30-Day - Total Dietary Supplements"
"DS1TOT_F","Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
"DR1IFF_F","Dietary Interview - Individual Foods, First Day"
"DR2IFF_F","Dietary Interview - Individual Foods, Second Day"
"DR1TOT_F","Dietary Interview - Total Nutrient Intakes, First Day"
"DR2TOT_F","Dietary Interview - Total Nutrient Intakes, Second Day"
"DRXFCD_F","Dietary Interview Technical Support File - Food Codes"
"DRXMCD_F","Dietary Interview Technical Support File - Modification Codes"
"DR1TOT_G","Dietary Interview - Total Nutrient Intakes, First Day"
"DR2TOT_G","Dietary Interview - Total Nutrient Intakes, Second Day"
"DR1IFF_G","Dietary Interview - Individual Foods, First Day"
"DR2IFF_G","Dietary Interview - Individual Foods, Second Day"
"DRXMCD_G","Dietary Interview Technical Support File - Modification Codes"
"DRXFCD_G","Dietary Interview Technical Support File - Food Codes"
"DSQIDS_G","Dietary Supplement Use 30 Day - Individual Dietary Supplements"
"DSQTOT_G","Dietary Supplement Use 30-Day - Total Dietary Supplements"
"DS1IDS_G","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
"DS2IDS_G","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
"DS1TOT_G","Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
"DS2TOT_G","Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
"DR1TOT_H","Dietary Interview - Total Nutrient Intakes, First Day"
"DR2TOT_H","Dietary Interview - Total Nutrient Intakes, Second Day"
"DR1IFF_H","Dietary Interview - Individual Foods, First Day"
"DR2IFF_H","Dietary Interview - Individual Foods, Second Day"
"DRXFCD_H","Dietary Interview Technical Support File - Food Codes"
"DS1IDS_H","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
"DSQIDS_H","Dietary Supplement Use 30-Day - Individual Dietary Supplements"
"DS2IDS_H","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
"DS1TOT_H","Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
"DS2TOT_H","Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
"DSQTOT_H","Dietary Supplement Use 30-Day - Total Dietary Supplements"
"DR1TOT_I","Dietary Interview - Total Nutrient Intakes, First Day"
"DR2TOT_I","Dietary Interview - Total Nutrient Intakes, Second Day"
"DR1IFF_I","Dietary Interview - Individual Foods, First Day"
"DR2IFF_I","Dietary Interview - Individual Foods, Second Day"
"DSQTOT_I","Dietary Supplement Use 30-Day - Total Dietary Supplements"
"DS1IDS_I","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
"DS2IDS_I","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
"DS1TOT_I","Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
"DS2TOT_I","Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
"DSQIDS_I","Dietary Supplement Use 30-Day - Individual Dietary Supplements"
"DR1TOT_J","Dietary Interview - Total Nutrient Intakes, First Day"
"DR2TOT_J","Dietary Interview - Total Nutrient Intakes, Second Day"
"DR1IFF_J","Dietary Interview - Individual Foods, First Day"
"DR2IFF_J","Dietary Interview - Individual Foods, Second Day"
"DS1IDS_J","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, First Day"
"DSQTOT_J","Dietary Supplement Use 30-Day - Total Dietary Supplements"
"DS2IDS_J","Dietary Supplement Use 24-Hour - Individual Dietary Supplements, Second Day"
"DS1TOT_J","Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day"
"DS2TOT_J","Dietary Supplement Use 24-Hour - Total Dietary Supplements, Second Day"
"DSQIDS_J","Dietary Supplement Use 30-Day - Individual Dietary Supplements"
